"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Yasmani Grandal","White Sox","128","550","458","110","21","2","26","74","77","83","132","4","3","1","",".239",".358",".460",".818",".348","","119","-3.2","0.3","","10.4","7.5","5.0","","106.2","11368"
"J.T. Realmuto","Phillies","128","558","505","136","29","2","24","74","76","39","116","7","6","2","",".270",".329",".478",".808",".337","","107","1.6","4.9","","6.4","15.3","4.3","","45.4","11739"
"Buster Posey","Giants","117","516","457","126","27","1","11","58","54","47","75","6","2","1","",".275",".347",".410",".758",".325","","103","-2.2","5.7","","-0.5","13.0","3.6","","253.4","9166"
"Christian Vazquez","Red Sox","104","411","377","99","20","1","12","47","51","25","77","3","4","2","",".263",".312",".418",".730",".308","","86","-1.3","2.9","","-8.8","10.6","2.6","","203.5","9774"
"Gary Sanchez","Yankees","107","452","398","96","16","1","30","65","76","43","117","7","1","1","",".242",".324",".517",".841",".347","","117","-0.4","-2.9","","9.4","5.1","2.6","","86.3","11442"
"Roberto Perez","Indians","101","393","344","76","14","1","15","45","48","40","115","3","1","0","",".220",".304",".401",".705",".301","","82","-1.0","4.2","","-10.2","12.6","2.5","","292.9","2900"
"Danny Jansen","Blue Jays","77","291","257","64","14","1","10","36","35","26","52","5","2","1","",".250",".326",".432",".759",".322","","100","0.2","0.6","","0.2","7.0","2.2","","251.4","16535"
"Carson Kelly","Diamondbacks","99","386","332","83","17","1","14","42","46","43","74","4","1","0","",".250",".340",".430",".770",".323","","97","-0.3","0.8","","-1.9","9.1","2.0","","202.8","13620"
"Mike Zunino","Rays","99","378","337","69","14","1","16","42","46","30","130","5","2","1","",".204",".276",".396",".672",".285","","78","-0.4","2.2","","-10.8","10.5","1.9","","539.7","13265"
"Jason Castro","Angels","90","342","296","65","14","1","11","40","39","37","106","4","2","1","",".220",".312",".387",".699",".301","","88","-0.8","1.2","","-5.9","8.7","1.9","","370.4","8722"
"Mitch Garver","Twins","90","372","328","83","18","1","16","48","51","37","90","3","1","0","",".255",".333",".465",".799",".336","","109","-0.3","-2.7","","3.8","4.9","1.9","","117.6","15161"
"Yadier Molina","Cardinals","98","411","379","100","20","1","12","44","50","23","62","5","4","2","",".263",".311",".411",".722",".306","","90","-2.6","3.7","","-8.1","11.9","1.8","","226.0","7007"
"Sean Murphy","Athletics","90","350","315","79","17","1","13","42","46","26","74","4","2","1","",".251",".313",".442",".755",".318","","100","0.3","0.0","","0.4","7.5","1.8","","213.6","19352"
"Jacob Stallings","Pirates","80","318","289","76","17","1","7","29","34","20","61","4","1","1","",".262",".317",".394",".711",".301","","85","0.0","0.2","","-6.5","6.9","1.7","","526.0","13723"
"Will Smith","Dodgers","89","350","309","70","13","1","17","40","48","31","89","5","2","1","",".225",".304",".441",".745",".313","","95","0.0","0.6","","-2.3","8.0","1.7","","163.4","19197"
"Travis d'Arnaud","Braves","85","344","312","80","17","1","13","39","46","25","70","3","1","1","",".258",".316",".442",".758",".319","","94","-0.4","-0.6","","-3.1","5.9","1.6","","244.7","7739"
"Tyler Flowers","Braves","62","247","214","50","9","1","8","26","28","23","73","6","1","0","",".232",".323",".392",".714",".307","","86","-0.6","-2.1","","-5.3","3.1","1.5","","580.7","9134"
"Wilson Ramos","Mets","99","401","363","100","17","1","15","44","53","31","63","2","1","0","",".274",".333",".448",".781",".328","","106","-3.0","-1.2","","0.2","7.1","1.5","","176.3","1433"
"Martin Maldonado","Astros","86","326","293","65","14","1","10","37","37","21","81","7","1","1","",".221",".287",".375",".662",".283","","77","-0.9","2.5","","-10.7","9.7","1.5","","579.3","6887"
"Salvador Perez","Royals","128","530","495","125","25","1","26","61","74","21","106","8","3","1","",".252",".291",".465",".756",".314","","93","-2.4","6.6","","-7.5","12.5","1.4","","153.9","7304"
"Willson Contreras","Cubs","98","410","358","92","19","2","16","51","57","41","98","7","3","1","",".258",".342",".458",".800",".337","","107","-1.2","-0.3","","2.6","7.9","1.4","","119.6","11609"
"Austin Barnes","Dodgers","59","232","199","45","10","1","6","24","24","25","55","4","3","1","",".227",".323",".365",".688",".298","","85","-0.2","-0.3","","-4.8","4.6","1.4","","587.0","12158"
