Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Mike Trout,Angels,150,675,528,157,29,3,44,125,112,126,136,12,14,5,,0.297,0.439,0.611,1.05,0.427,,173,3.1,-1.7,,66.1,0.6,8.8,10155
Christian Yelich,Brewers,150,672,570,174,35,4,36,112,100,86,137,7,22,7,,0.304,0.4,0.568,0.968,0.397,,145,3.3,0.5,,43.3,-6.5,5.7,11477
George Springer,Astros,149,687,589,161,28,2,35,112,91,79,137,8,8,3,,0.273,0.365,0.51,0.874,0.367,,133,0.7,-1.7,,29.9,-0.6,5.2,12856
Ronald Acuna Jr.,Braves,150,680,593,167,29,3,37,107,93,70,166,7,29,11,,0.282,0.363,0.527,0.889,0.37,,127,2.9,-1.6,,27.2,-2.3,4.6,18401
Tommy Pham,Padres,146,652,557,151,28,3,25,92,76,79,141,7,18,7,,0.271,0.366,0.466,0.832,0.353,,120,1.4,1.9,,18.2,-5.4,3.3,2967
Ramon Laureano,Athletics,147,597,536,141,31,1,23,76,79,45,149,8,14,5,,0.264,0.327,0.457,0.784,0.331,,109,2.3,1,,9.3,3,3.2,17128
Alex Verdugo,Dodgers,146,603,542,166,38,3,16,81,78,50,81,4,7,3,,0.307,0.367,0.479,0.846,0.357,,119,0.4,4.4,,14.9,-2.9,3.2,17027
Byron Buxton,Twins,139,542,492,129,32,4,20,73,73,37,137,5,23,7,,0.262,0.317,0.461,0.778,0.325,,101,4.2,6.3,,5.1,8.7,3.2,14161
Michael Conforto,Mets,139,603,509,128,27,1,31,82,85,79,143,8,5,2,,0.251,0.358,0.489,0.847,0.354,,123,0.9,-0.6,,19.6,-7.2,3.1,16376
Starling Marte,Diamondbacks,149,664,607,173,33,7,24,89,85,36,123,13,26,9,,0.284,0.335,0.48,0.815,0.341,,109,1.6,-3.4,,9.2,-0.9,2.9,9241
Joc Pederson,Dodgers,107,466,401,103,20,3,26,72,68,51,99,8,3,1,,0.256,0.349,0.517,0.866,0.36,,128,0.7,1.1,,17.2,-4.7,2.8,11899
