Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
J.D. Martinez,Red Sox,150,649,570,172,34,2,39,101,119,69,148,4,3,1,,0.301,0.378,0.576,0.954,0.39,,142,-3.1,-1.1,,31.4,-17.4,3.6,6184
Yordan Alvarez,Astros,143,602,520,143,28,1,39,93,107,72,147,4,3,1,,0.276,0.366,0.556,0.922,0.377,,140,-0.2,0,,30.7,-16.6,3.4,19556
Nelson Cruz,Twins,147,641,561,158,27,1,40,97,114,64,158,10,1,1,,0.282,0.363,0.547,0.91,0.374,,134,-3.5,0,,24.6,-17.2,2.9,2434
Shohei Ohtani,Angels,130,555,492,138,26,4,29,80,90,53,143,4,13,5,,0.28,0.353,0.524,0.876,0.364,,130,0.6,0,,22.1,-15.1,2.6,19755
Jorge Soler,Royals,149,637,551,142,30,1,34,87,96,72,171,8,3,2,,0.257,0.349,0.503,0.852,0.356,,121,-0.5,-0.9,,16.4,-16.7,2.2,14221
Edwin Encarnacion,White Sox,134,578,495,122,20,1,35,81,92,71,133,7,2,1,,0.246,0.346,0.499,0.845,0.353,,123,-2.7,-0.3,,14.2,-15,1.9,2151
Nick Solak,Rangers,107,451,401,107,18,2,16,55,59,39,99,6,6,2,,0.267,0.339,0.444,0.783,0.332,,98,0.1,-0.9,,-1.2,0.2,1.5,19294
Khris Davis,Athletics,147,628,557,135,24,1,38,85,103,59,175,7,1,0,,0.243,0.321,0.497,0.818,0.339,,115,-1.9,-0.2,,9.8,-17.2,1.4,9112
Ji-Man Choi,Rays,110,471,402,99,21,2,18,59,60,58,117,5,3,1,,0.247,0.347,0.442,0.788,0.335,,112,0,-0.3,,7.3,-9.8,1.4,5452
Daniel Vogelbach,Mariners,86,359,301,70,12,0,16,43,45,53,89,2,1,0,,0.232,0.347,0.434,0.782,0.334,,112,-0.3,0.1,,5.1,-9.8,0.8,14130
Shin-Soo Choo,Rangers,146,665,564,144,27,2,23,92,70,79,165,11,10,3,,0.255,0.356,0.431,0.787,0.337,,101,-0.3,-2.5,,0.7,-16.5,0.7,3174
Miguel Cabrera,Tigers,138,603,536,148,28,1,20,72,77,58,124,4,1,0,,0.277,0.35,0.444,0.794,0.336,,108,-4.6,0,,1.6,-15.9,0.7,1744
Nathaniel Lowe,Rays,52,214,187,49,10,0,9,26,28,23,50,2,1,0,,0.263,0.345,0.459,0.804,0.34,,115,0.3,0,,4.5,-5.6,0.6,19566
Rowdy Tellez,Blue Jays,57,236,213,53,12,0,11,29,33,19,58,2,2,1,,0.25,0.316,0.462,0.778,0.325,,102,0,0.4,,0.5,-4.7,0.4,15679
Robbie Grossman,Athletics,45,190,162,41,9,1,4,23,19,25,35,1,2,1,,0.254,0.353,0.386,0.74,0.322,,103,-0.1,-0.9,,0.7,-3.2,0.4,5254
Renato Nunez,Orioles,144,608,549,136,26,1,29,72,85,46,149,7,2,1,,0.247,0.311,0.453,0.764,0.321,,97,-0.3,0.4,,-2.5,-15.3,0.4,14503
Mike Ford,Yankees,26,105,91,23,4,0,5,14,15,11,20,1,0,0,,0.255,0.34,0.485,0.825,0.344,,115,0,-0.2,,2.1,-2.4,0.3,15585
Danny Mendick,White Sox,19,80,72,17,3,0,2,9,8,7,16,1,2,1,,0.243,0.31,0.375,0.686,0.296,,84,0,0.1,,-1.6,0.5,0.2,18889
Zack Collins,White Sox,8,31,26,6,1,0,1,4,4,4,10,0,0,0,,0.214,0.325,0.394,0.719,0.31,,94,0,0,,-0.2,-0.3,0,19181
Rob Brantly,,3,12,11,3,0,0,0,1,1,1,2,0,0,0,,0.244,0.301,0.364,0.665,0.284,,76,0,0,,-0.4,0.3,0,10655
Bobby Bradley,Indians,10,39,35,8,2,0,2,5,6,3,13,0,0,0,,0.23,0.297,0.464,0.76,0.316,,91,0,-0.1,,-0.4,-0.9,0,17278
