"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"J.D. Martinez","Red Sox","150","649","570","172","34","2","39","101","120","69","148","4","2","1","",".302",".378",".577",".955",".391","","142","-3.1","-0.4","","31.7","-17.5","3.6","","22.7","6184"
"Yordan Alvarez","Astros","138","566","490","137","27","1","36","85","95","66","137","4","3","1","",".279",".366",".555",".921",".377","","140","-0.2","0.0","","29.0","-15.6","3.2","","48.2","19556"
"Nelson Cruz","Twins","141","621","543","153","26","1","39","94","110","62","153","10","1","1","",".282",".363",".548",".912",".375","","135","-3.4","0.0","","24.1","-16.4","2.9","","72.8","2434"
"Shohei Ohtani","Angels","113","488","434","122","23","3","25","70","82","46","126","4","11","5","",".281",".353",".525",".878",".364","","131","0.4","0.0","","19.6","-13.2","2.3","","124.9","19755"
"Jorge Soler","Royals","146","640","553","143","30","1","35","87","98","72","172","8","4","2","",".258",".349",".504",".854",".356","","121","-0.5","-0.7","","16.7","-16.5","2.2","","88.6","14221"
"Edwin Encarnacion","White Sox","130","549","469","115","19","1","33","76","86","67","126","7","2","1","",".246",".346",".498",".844",".353","","123","-2.6","-0.2","","13.3","-14.6","1.8","","161.7","2151"
"Ji-Man Choi","Rays","109","467","400","99","21","2","18","58","62","58","116","5","3","1","",".248",".347",".443",".790",".336","","113","-0.1","-0.3","","7.5","-9.6","1.4","","550.6","5452"
"Khris Davis","Athletics","146","604","535","130","23","1","37","80","94","56","169","7","1","0","",".243",".321",".497",".818",".339","","115","-1.8","-0.1","","9.5","-17.0","1.3","","178.4","9112"
"Nick Solak","Rangers","109","435","386","104","17","2","16","51","55","38","95","6","6","2","",".268",".339",".445",".784",".333","","98","0.1","-0.7","","-0.9","-1.2","1.3","","282.4","19294"
"Daniel Vogelbach","Mariners","99","415","347","81","14","0","19","50","53","61","102","2","1","0","",".232",".349",".436",".785",".335","","113","-0.4","0.1","","6.3","-11.1","1.0","","557.0","14130"
"Shin-Soo Choo","Rangers","139","644","546","140","26","2","22","90","66","77","159","11","10","3","",".256",".356",".432",".788",".338","","102","-0.2","-2.2","","1.1","-15.8","0.8","","220.4","3174"
"Miguel Cabrera","Tigers","130","572","508","141","27","1","19","68","73","55","118","4","1","0","",".278",".350",".443",".793",".336","","108","-4.3","0.0","","1.5","-15.0","0.7","","352.1","1744"
"Rowdy Tellez","Blue Jays","75","311","279","70","16","0","14","38","43","25","77","3","2","1","",".251",".317",".463",".780",".326","","103","0.0","0.4","","1.0","-6.9","0.5","","566.6","15679"
"Mike Ford","Yankees","37","150","131","33","6","0","8","21","22","16","29","2","1","0","",".255",".340",".487",".827",".345","","116","0.1","-0.3","","3.1","-3.4","0.5","","591.0","15585"
"Renato Nunez","Orioles","139","597","539","133","25","1","28","71","83","45","147","7","2","1","",".247",".311",".454",".765",".321","","97","-0.3","0.1","","-2.2","-14.5","0.4","","288.9","14503"
