Rank,Player/Team/Pos,Player,Team/Pos,H,R,RBI,BB,K,SB,Tot,Avg,
1,"Shohei Ohtani
LAADH, SP",Shohei Ohtani,"LAADH, SP",88,45,53,29,92,7,451,18.8,130
2,"Mookie Betts
LADOF",Mookie Betts,LADOF,168,117,79,84,92,21,377,2.6,377
3,"Alex Bregman
Hou3B, SS",Alex Bregman,"Hou3B, SS",150,102,94,91,79,6,364,2.5,364
4,"Mike Trout
LAAOF",Mike Trout,LAAOF,148,112,99,112,124,15,362,2.5,362
5,"Anthony Rendon
LAA3B",Anthony Rendon,LAA3B,159,93,103,72,81,3,349,2.5,349
6,"Christian Yelich
MilOF",Christian Yelich,MilOF,169,106,99,76,126,23,347,2.5,347
7,"Juan Soto
WshOF",Juan Soto,WshOF,153,104,104,102,126,9,346,2.4,346
8,"Nolan Arenado
Col3B",Nolan Arenado,Col3B,172,93,108,61,97,2,339,2.3,339
9,"Cody Bellinger
LADOF, 1B",Cody Bellinger,"LADOF, 1B",150,106,104,82,120,12,334,2.3,334
10,"Anthony Rizzo
ChC1B",Anthony Rizzo,ChC1B,155,84,96,75,84,4,330,2.2,330
11,"Freddie Freeman
Atl1B",Freddie Freeman,Atl1B,167,94,97,78,119,5,322,2.2,322
12,"Marcus Semien
OakSS",Marcus Semien,OakSS,159,107,80,71,106,8,319,2.2,319
13,"Jose Ramirez
Cle3B",Jose Ramirez,Cle3B,141,80,84,65,77,22,315,2.3,315
14,"Francisco Lindor
CleSS",Francisco Lindor,CleSS,162,97,72,51,96,22,308,2.1,308
15,"Luis Arraez
Min2B, OF",Luis Arraez,"Min2B, OF",170,76,46,61,48,3,308,2.1,308
16,"Xander Bogaerts
BosSS",Xander Bogaerts,BosSS,161,90,95,67,112,6,307,2.1,307
17,"Jose Altuve
Hou2B",Jose Altuve,Hou2B,170,93,74,48,89,9,305,2.2,305
18,"Michael Brantley
HouOF, DH",Michael Brantley,"HouOF, DH",159,78,78,48,64,6,305,2.2,305
19,"Ketel Marte
AriOF, 2B",Ketel Marte,"AriOF, 2B",169,86,77,52,88,7,303,2,303
20,"Carlos Santana
Cle1B, DH",Carlos Santana,"Cle1B, DH",134,86,77,96,98,3,298,2.1,298
21,"George Springer
HouOF",George Springer,HouOF,147,104,93,67,118,4,297,2.2,297
22,"Trea Turner
WshSS",Trea Turner,WshSS,168,96,61,51,119,38,295,2.1,295
23,"DJ LeMahieu
NYY2B, 1B, 3B",DJ LeMahieu,"NYY2B, 1B, 3B",167,91,77,44,88,3,294,2.2,294
24,"Charlie Blackmon
ColOF",Charlie Blackmon,ColOF,171,103,75,47,106,3,293,2.2,293
25,"J.D. Martinez
BosOF, DH",J.D. Martinez,"BosOF, DH",163,91,103,67,135,3,292,2.1,292
26,"Ronald Acuna Jr.
AtlOF",Ronald Acuna Jr.,AtlOF,163,110,88,69,171,32,291,2,291
27,"Rafael Devers
Bos3B",Rafael Devers,Bos3B,170,100,95,48,128,3,288,1.9,288
28,"Bryce Harper
PhiOF",Bryce Harper,PhiOF,136,93,101,99,154,10,285,2,285
29,"Josh Bell
Pit1B",Josh Bell,Pit1B,136,87,98,70,106,0,285,2,285
30,"Jeff McNeil
NYMOF, 2B, 3B",Jeff McNeil,"NYMOF, 2B, 3B",153,89,76,38,76,5,285,2.1,285
31,"Marcell Ozuna
AtlOF",Marcell Ozuna,AtlOF,149,83,101,57,114,7,283,2.1,283
32,"Jorge Polanco
MinSS",Jorge Polanco,MinSS,161,88,74,53,103,5,278,2,278
33,"Ozzie Albies
Atl2B",Ozzie Albies,Atl2B,167,90,71,46,113,13,274,1.8,274
34,"Whit Merrifield
KC2B, OF",Whit Merrifield,"KC2B, OF",175,82,62,42,106,19,274,1.9,274
35,"Starling Marte
AriOF",Starling Marte,AriOF,156,92,79,26,101,21,273,2,273
36,"Jean Segura
PhiSS",Jean Segura,PhiSS,162,81,58,31,71,10,271,1.9,271
37,"Yuli Gurriel
Hou1B, 3B",Yuli Gurriel,"Hou1B, 3B",145,70,85,27,62,3,268,2,268
38,"Kris Bryant
ChC3B, OF",Kris Bryant,"ChC3B, OF",150,104,74,72,143,4,261,1.8,261
39,"Nick Madrigal
ChW2B",Nick Madrigal,ChW2B,124,69,35,37,18,14,261,2.5,261
40,"Vladimir Guerrero Jr.
Tor3B, DH",Vladimir Guerrero Jr.,"Tor3B, DH",145,66,85,49,86,1,260,1.9,260
41,"Adam Eaton
WshOF",Adam Eaton,WshOF,147,93,47,59,98,12,260,1.9,260
42,"Yordan Alvarez
HouDH",Yordan Alvarez,HouDH,139,84,114,71,151,2,259,1.9,259
43,"Corey Seager
LADSS",Corey Seager,LADSS,137,84,87,51,103,1,257,1.9,257
44,"Matt Chapman
Oak3B",Matt Chapman,Oak3B,149,107,89,69,159,1,256,1.7,256
45,"Joey Votto
Cin1B",Joey Votto,Cin1B,137,73,55,89,102,4,256,1.8,256
46,"Tommy La Stella
LAA2B, 3B",Tommy La Stella,"LAA2B, 3B",136,75,67,39,61,0,256,1.8,256
47,"Tommy Pham
SDOF, DH",Tommy Pham,"SDOF, DH",135,81,64,75,117,17,255,1.9,255
48,"Manny Machado
SD3B, SS",Manny Machado,"SD3B, SS",147,73,82,58,111,5,254,1.8,254
49,"Paul Goldschmidt
StL1B",Paul Goldschmidt,StL1B,147,89,87,78,151,4,254,1.7,254
50,"Cesar Hernandez
Cle2B",Cesar Hernandez,Cle2B,151,75,56,58,100,14,254,1.8,254
51,"Jose Abreu
ChW1B, DH",Jose Abreu,"ChW1B, DH",158,79,103,37,125,1,253,1.8,253
52,"Josh Donaldson
Min3B",Josh Donaldson,Min3B,133,85,84,94,146,3,253,1.8,253
53,"Eddie Rosario
MinOF",Eddie Rosario,MinOF,143,80,87,25,86,3,252,1.9,252
54,"Andrew Benintendi
BosOF",Andrew Benintendi,BosOF,151,79,75,67,132,12,252,1.8,252
55,"Eduardo Escobar
Ari3B, 2B",Eduardo Escobar,"Ari3B, 2B",149,79,96,44,119,3,252,1.8,252
56,"Kevin Newman
PitSS, 2B",Kevin Newman,"PitSS, 2B",157,70,58,32,76,11,252,1.7,252
57,"Justin Turner
LAD3B",Justin Turner,LAD3B,131,75,67,50,75,2,250,2,250
58,"Austin Meadows
TBOF, DH",Austin Meadows,"TBOF, DH",157,82,86,50,135,9,249,1.8,249
59,"Bryan Reynolds
PitOF",Bryan Reynolds,PitOF,153,88,73,54,126,3,245,1.7,245
60,"Nelson Cruz
MinDH",Nelson Cruz,MinDH,137,79,106,58,136,0,244,1.8,244
61,"Elvis Andrus
TexSS",Elvis Andrus,TexSS,152,69,59,35,92,21,244,1.8,244
62,"Rhys Hoskins
Phi1B",Rhys Hoskins,Phi1B,119,81,86,94,139,2,243,1.7,243
63,"Max Muncy
LAD2B, 1B, 3B",Max Muncy,"LAD2B, 1B, 3B",116,92,90,83,141,3,243,1.7,243
64,"Trent Grisham
SDOF",Trent Grisham,SDOF,117,70,66,77,95,8,243,1.9,243
65,"Pete Alonso
NYM1B",Pete Alonso,NYM1B,132,94,112,69,167,0,240,1.7,240
66,"Max Kepler
MinOF",Max Kepler,MinOF,120,82,72,56,91,1,240,1.8,240
67,"Didi Gregorius
PhiSS",Didi Gregorius,PhiSS,125,74,86,30,78,3,240,1.8,240
68,"Tommy Edman
StL3B, 2B",Tommy Edman,"StL3B, 2B",151,83,54,32,100,19,239,1.7,239
69,"Daniel Murphy
Col1B",Daniel Murphy,Col1B,134,63,75,37,71,1,239,1.8,239
70,"Andrew McCutchen
PhiOF",Andrew McCutchen,PhiOF,128,83,67,76,120,4,238,1.8,238
71,"Carlos Correa
HouSS",Carlos Correa,HouSS,133,76,93,60,127,2,237,1.8,237
72,"J.T. Realmuto
PhiC",J.T. Realmuto,PhiC,139,83,79,37,108,6,236,1.8,236
73,"Adam Frazier
Pit2B",Adam Frazier,Pit2B,135,75,54,41,71,2,236,1.7,236
