Rank,Player,Team,Elig. Pos.,"Pos.
Rank"
1,Mike Trout,LAA,OF,OF1
2,Ronald Acuna Jr.,ATL,OF,OF2
3,Christian Yelich,MIL,OF,OF3
4,Cody Bellinger,LAD,OF/1B,OF4
5,Gerrit Cole,NYY,SP,SP1
6,Mookie Betts,LAD,OF,OF5
7,Francisco Lindor,CLE,SS,SS1
8,Juan Soto,WSH,OF,OF6
9,Jacob deGrom,NYM,SP,SP2
10,Alex Bregman,HOU,3B/SS,3B1
11,Trea Turner,WSH,SS,SS3
12,Nolan Arenado,COL,3B,3B2
13,Trevor Story,COL,SS,SS4
14,Freddie Freeman,ATL,1B,1B2
15,J.D. Martinez,BOS,OF,OF7
16,Justin Verlander,HOU,SP,SP3
17,Rafael Devers,BOS,3B,3B3
18,Max Scherzer,WSH,SP,SP4
19,Bryce Harper,PHI,OF,OF8
20,Walker Buehler,LAD,SP,SP5
21,Anthony Rendon,LAA,3B,3B4
22,Jose Ramirez,CLE,3B,3B5
23,Starling Marte,ARI,OF,OF9
24,Stephen Strasburg,WSH,SP,SP6
25,Javier Baez,CHC,SS,SS5
26,Jack Flaherty,STL,SP,SP7
27,Jose Altuve,HOU,2B,2B1
28,Charlie Blackmon,COL,OF,OF10
29,Pete Alonso,NYM,1B,1B3
30,George Springer,HOU,OF,OF11
31,Xander Bogaerts,BOS,SS,SS6
32,Shane Bieber,CLE,SP,SP8
33,Fernando Tatis Jr.,SD,SS,SS7
34,Austin Meadows,TB,OF,OF12
35,Gleyber Torres,NYY,SS/2B,SS8
36,Clayton Kershaw,LAD,SP,SP9
37,Ozzie Albies,ATL,2B,2B3
38,Manny Machado,SD,3B/SS,3B6
39,Anthony Rizzo,CHC,1B,1B4
40,Yordan Alvarez,HOU,DH,DH1
41,Mike Clevinger,CLE,SP,SP10
42,Kris Bryant,CHC,3B/OF,3B7
43,Ketel Marte,ARI,OF/2B,OF14
44,Patrick Corbin,WSH,SP,SP11
45,Joey Gallo,TEX,OF,OF15
46,Josh Bell,PIT,1B,1B5
47,Eloy Jimenez,CWS,OF,OF16
48,Charlie Morton,TB,SP,SP12
49,Aaron Judge,NYY,OF,OF17
50,Paul Goldschmidt,STL,1B,1B6
51,Eddie Rosario,MIN,OF,OF18
52,Jonathan Villar,MIA,2B/SS,2B5
53,Matt Olson,OAK,1B,1B7
54,Blake Snell,TB,SP,SP13
55,Nelson Cruz,MIN,DH,DH2
56,Tommy Pham,SD,OF,OF19
57,Luis Castillo,CIN,SP,SP14
58,Keston Hiura,MIL,2B,2B6
59,Chris Paddack,SD,SP,SP15
60,Marcell Ozuna,ATL,OF,OF20
61,Josh Hader,MIL,RP,RP1
62,Aaron Nola,PHI,SP,SP16
63,Eugenio Suarez,CIN,3B,3B8
64,Jose Abreu,CWS,1B,1B8
65,Nicholas Castellanos,CIN,OF,OF21
66,Whit Merrifield,KC,2B/OF,2B7
67,Kirby Yates,SD,RP,RP2
68,Zack Greinke,HOU,SP,SP17
69,Marcus Semien,OAK,SS,SS11
70,Michael Conforto,NYM,OF,OF23
71,Matt Chapman,OAK,3B,3B9
72,Carlos Correa,HOU,SS,SS12
73,Aroldis Chapman,NYY,RP,RP3
74,J.T. Realmuto,PHI,C,C1
75,Adalberto Mondesi,KC,SS,SS13
76,Lucas Giolito,CWS,SP,SP18
77,Rhys Hoskins,PHI,1B,1B9
78,Roberto Osuna,HOU,RP,RP4
79,Bo Bichette,TOR,SS,SS14
80,Yu Darvish,CHC,SP,SP19
81,Victor Robles,WSH,OF,OF24
82,DJ LeMahieu,NYY,2B/3B/1B,2B8
83,Tyler Glasnow,TB,SP,SP20
84,Vladimir Guerrero Jr.,TOR,3B,3B11
85,Kyle Schwarber,CHC,OF,OF25
86,Trevor Bauer,CIN,SP,SP21
87,Max Muncy,LAD,2B/1B/3B,2B9
88,Andrew Benintendi,BOS,OF,OF26
89,Kenley Jansen,LAD,RP,RP5
90,Yoan Moncada,CWS,3B,3B13
91,Jorge Soler,KC,OF,OF27
92,Brandon Woodruff,MIL,SP,SP22
93,Josh Donaldson,MIN,3B,3B14
94,Liam Hendriks,OAK,RP,RP6
95,Ramon Laureano,OAK,OF,OF28
96,Shohei Ohtani,LAA,DH/SP,DH3
97,Jeff McNeil,NYM,OF/2B/3B,OF29
98,Michael Brantley,HOU,OF,OF30
99,Giancarlo Stanton,NYY,OF,OF31
100,Taylor Rogers,MIN,RP,RP7
101,Gary Sanchez,NYY,C,C2
102,Luis Robert,CWS,OF,OF32
103,Carlos Carrasco,CLE,SP/RP,SP24
104,Mike Moustakas,CIN,3B/2B,3B16
105,Jose Berrios,MIN,SP,SP25
106,Miguel Sano,MIN,3B,3B17
107,Corey Seager,LAD,SS,SS15
108,Max Kepler,MIN,OF,OF33
109,Edwin Diaz,NYM,RP,RP9
110,Franmil Reyes,CLE,OF,OF34
111,Brad Hand,CLE,RP,RP10
112,Tim Anderson,CWS,SS,SS16
113,Oscar Mercado,CLE,OF,OF35
114,Adam Eaton,WSH,OF,OF36
115,Zack Wheeler,PHI,SP,SP26
116,Kyle Tucker,HOU,OF,OF37
117,Sonny Gray,CIN,SP,SP27
118,Cavan Biggio,TOR,2B,2B12
119,Corey Kluber,TEX,SP,SP28
120,David Dahl,COL,OF,OF38
121,Jesus Luzardo,OAK,RP,RP11
122,Eduardo Rodriguez,BOS,SP,SP29
123,Byron Buxton,MIN,OF,OF39
124,Eduardo Escobar,ARI,3B/2B,3B18
125,Ken Giles,TOR,RP,RP12
126,Lorenzo Cain,MIL,OF,OF40
127,Mike Soroka,ATL,SP,SP30
128,Carlos Santana,CLE,1B,1B12
129,Raisel Iglesias,CIN,RP,RP13
130,Khris Davis,OAK,DH,DH4
131,Frankie Montas,OAK,SP,SP31
132,Nick Anderson,TB,RP,RP14
133,Gavin Lux,LAD,2B,2B14
134,Hector Neris,PHI,RP,RP15
135,Justin Turner,LAD,3B,3B19
136,Lance Lynn,TEX,SP,SP32
137,Elvis Andrus,TEX,SS,SS17
138,Brandon Workman,BOS,RP,RP16
139,Edwin Encarnacion,CWS,1B,1B13
140,Max Fried,ATL,SP/RP,SP33
141,Yuli Gurriel,HOU,1B/3B,1B14
142,Yasmani Grandal,CWS,C/1B,C3
143,James Paxton,NYY,SP,SP34
144,Will Smith,ATL,RP,RP18
145,Joc Pederson,LAD,OF/1B,OF41
146,Lourdes Gurriel Jr.,TOR,OF,OF42
147,Hyun-Jin Ryu,TOR,SP,SP35
148,Amed Rosario,NYM,SS,SS18
149,Archie Bradley,ARI,RP,RP19
150,Dinelson Lamet,SD,SP,SP36
151,Brian Anderson,MIA,3B/OF,3B21
152,Madison Bumgarner,ARI,SP,SP37
153,Mallex Smith,SEA,OF,OF44
154,Craig Kimbrel,CHC,RP,RP20
155,Bryan Reynolds,PIT,OF,OF45
156,Jose Leclerc,TEX,RP,RP21
157,Kyle Hendricks,CHC,SP,SP38
158,Jorge Polanco,MIN,SS,SS19
159,Scott Kingery,PHI,OF/3B,OF46
160,Zac Gallen,ARI,SP,SP39
161,Jean Segura,PHI,SS,SS20
162,David Price,LAD,SP,SP40
163,Justin Upton,LAA,OF,OF47
164,Robbie Ray,ARI,SP,SP41
165,Mitch Garver,MIN,C,C4
166,C.J. Cron,DET,1B,1B17
167,Christian Walker,ARI,1B,1B18
168,Julio Urias,LAD,RP/SP,RP22
169,Willson Contreras,CHC,C,C5
170,Matthew Boyd,DET,SP,SP43
171,Brandon Lowe,TB,2B,2B15
172,Alex Colome,CWS,RP,RP23
173,Paul DeJong,STL,SS,SS21
174,Hansel Robles,LAA,RP,RP24
175,Joey Votto,CIN,1B,1B19
176,Willie Calhoun,TEX,OF,OF48
177,German Marquez,COL,SP,SP44
178,Miguel Andujar,NYY,DH,DH5
179,Kenta Maeda,MIN,SP/RP,SP45
180,Ryan McMahon,COL,2B/3B,2B16
181,Lance McCullers Jr.,HOU,SP,SP46
182,Salvador Perez,KC,C,C6
183,Giovanny Gallegos,STL,RP,RP26
184,Shin-Soo Choo,TEX,OF,OF49
185,Carlos Martinez,STL,RP,RP27
186,Eric Hosmer,SD,1B,1B20
187,Sean Manaea,OAK,SP,SP47
188,J.D. Davis,NYM,OF/3B,OF50
189,Ian Kennedy,KC,RP,RP28
190,Yandy Diaz,TB,3B/1B,3B25
191,Rougned Odor,TEX,2B,2B17
192,Andrew Heaney,LAA,SP,SP48
193,Yasiel Puig,FA,OF,OF51
194,Danny Santana,TEX,OF/1B,OF52
195,Mike Minor,TEX,SP,SP49
196,Wilson Ramos,NYM,C,C7
197,Luke Voit,NYY,1B,1B23
198,Joe Jimenez,DET,RP,RP29
199,Didi Gregorius,PHI,SS,SS22
200,Luke Weaver,ARI,SP,SP50
201,Kevin Newman,PIT,SS/2B,SS23
202,Josh James,HOU,RP,RP30
203,Tommy Edman,STL,3B/2B,3B26
204,Hunter Dozier,KC,3B/OF,3B27
205,Masahiro Tanaka,NYY,SP,SP51
206,Andrew McCutchen,PHI,OF,OF54
207,Sean Doolittle,WSH,RP,RP31
208,Will Smith,LAD,C,C8
209,Mike Foltynewicz,ATL,SP,SP52
210,Avisail Garcia,MIL,OF,OF55
211,Joe Musgrove,PIT,SP/RP,SP53
212,Randal Grichuk,TOR,OF,OF56
213,Jon Gray,COL,SP,SP54
214,Daniel Murphy,COL,1B,1B24
215,Mark Canha,OAK,OF,OF57
216,Reynaldo Lopez,CWS,SP,SP55
217,Keone Kela,PIT,RP,RP33
218,Nick Senzel,CIN,OF,OF58
219,Dallas Keuchel,CWS,SP,SP56
220,Matt Carpenter,STL,3B,3B28
221,Gio Urshela,NYY,3B,3B29
222,Jake Odorizzi,MIN,SP,SP57
223,Kolten Wong,STL,2B,2B20
224,Caleb Smith,MIA,SP,SP58
225,Joey Lucchesi,SD,SP,SP59
226,Michael Chavis,BOS,1B/2B,1B25
227,A.J. Puk,OAK,RP,RP34
228,Garrett Hampson,COL,2B/OF,2B22
229,Marcus Stroman,NYM,SP,SP60
230,Renato Nunez,BAL,1B,1B26
231,Nomar Mazara,CWS,OF,OF60
232,Hunter Renfroe,TB,OF,OF61
233,Mark Melancon,ATL,RP,RP35
234,Alex Verdugo,BOS,OF,OF62
235,Jose Urquidy,HOU,SP,SP61
236,Trent Grisham,SD,OF,OF63
237,Kole Calhoun,ARI,OF,OF64
238,Ryan Yarbrough,TB,RP/SP,RP36
239,Ryan Braun,MIL,OF,OF65
240,Jose Quintana,CHC,SP,SP63
241,Dansby Swanson,ATL,SS,SS24
242,Luis Arraez,MIN,2B/OF,2B23
243,David Peralta,ARI,OF,OF67
244,Austin Hays,BAL,OF,OF68
245,A.J. Pollock,LAD,OF,OF69
246,Dylan Bundy,LAA,SP,SP64
247,Seth Lugo,NYM,RP,RP37
248,Corey Dickerson,MIA,OF,OF70
249,Anthony DeSclafani,CIN,SP,SP65
250,Nick Solak,TEX,DH,DH6
251,Gregory Polanco,PIT,OF,OF71
252,Nick Madrigal,CWS,2B,2B24
253,Yonny Chirinos,TB,SP/RP,SP66
254,Christian Vazquez,BOS,C,C9
255,Miles Mikolas,STL,SP,SP67
256,Cesar Hernandez,CLE,2B,2B25
257,Yadier Molina,STL,C,C10
258,Ryan Pressly,HOU,RP,RP39
259,Starlin Castro,WSH,2B/3B,2B26
260,Ross Stripling,LAD,RP/SP,RP40
261,Jonathan Schoop,DET,2B,2B27
262,Willy Adames,TB,SS,SS25
263,Steven Matz,NYM,SP,SP69
264,Tommy La Stella,LAA,2B/3B,2B28
265,Andrelton Simmons,LAA,SS,SS26
266,Scott Oberg,COL,RP,RP41
267,Niko Goodrum,DET,SS/OF/2B,SS27
268,Shogo Akiyama,CIN,OF,OF73
269,Kyle Seager,SEA,3B,3B32
270,Sam Hilliard,COL,OF,OF74
271,Mitch Keller,PIT,SP,SP70
272,Dustin May,LAD,RP,RP42
273,Brett Gardner,NYY,OF,OF75
274,Jurickson Profar,SD,2B,2B30
275,Brandon Nimmo,NYM,OF,OF76
276,Chris Archer,PIT,SP,SP71
277,Aaron Civale,CLE,SP,SP72
278,Carson Kelly,ARI,C,C11
279,Domingo Santana,CLE,OF,OF77
280,Austin Riley,ATL,OF,OF78
281,Pablo Lopez,MIA,SP,SP73
282,Josh Lindblom,MIL,SP,SP74
283,Wil Myers,SD,OF,OF79
284,Michael Pineda,MIN,SP,SP75
285,Dakota Hudson,STL,SP,SP76
286,Brandon Belt,SF,1B,1B27
287,Mike Yastrzemski,SF,OF,OF80
288,Alex Wood,LAD,SP,SP77
289,Domingo German,NYY,SP,SP78
290,Miguel Cabrera,DET,1B,1B28
291,Chris Bassitt,OAK,SP,SP79
292,Justin Smoak,MIL,1B,1B29
293,Kevin Gausman,SF,SP/RP,SP80
294,Travis Shaw,TOR,3B,3B33
295,Mychal Givens,BAL,RP,RP44
296,Sandy Alcantara,MIA,SP,SP81
297,Jon Berti,MIA,SS/OF/3B,SS28
298,Eric Thames,WSH,1B,1B30
