"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Cody Bellinger","Dodgers","150","639","543","156","30","3","42","100","116","86","116","4","12","5","",".287",".386",".585",".970",".392","","147","1.2","0.8","","40.9","0.7","6.0","","4.4","15998"
"Freddie Freeman","Braves","150","663","569","167","36","2","34","99","104","81","126","7","6","3","",".293",".385",".542",".928",".382","","135","0.5","3.4","","31.2","-9.1","4.2","","17.0","5361"
"Anthony Rizzo","Cubs","150","674","566","161","33","3","32","106","93","79","95","21","6","3","",".284",".389",".523",".912",".381","","135","-2.3","3.9","","29.2","-8.6","4.1","","68.6","3473"
"Matt Olson","Athletics","147","635","552","141","29","1","38","90","105","68","157","10","1","1","",".255",".344",".516",".860",".355","","126","-0.7","5.7","","20.3","-6.5","3.5","","47.3","14344"
"Paul Goldschmidt","Cardinals","150","664","568","155","29","2","31","91","93","84","159","6","5","2","",".273",".369",".495",".864",".362","","126","1.3","1.8","","24.3","-10.7","3.4","","73.5","9218"
"Peter Alonso","Mets","150","664","575","145","27","2","44","97","108","68","168","14","2","1","",".252",".343",".535",".878",".362","","128","-0.5","1.3","","24.2","-11.2","3.3","","32.5","19251"
"Rhys Hoskins","Phillies","146","633","524","127","26","2","35","88","96","95","148","8","3","2","",".242",".364",".500",".864",".361","","122","0.2","2.1","","18.9","-10.1","2.8","","113.0","16472"
"Max Muncy","Dodgers","138","608","508","122","22","1","30","87","81","86","160","7","4","2","",".241",".356",".468",".823",".348","","118","1.3","2.3","","15.8","-7.2","2.7","","69.5","13301"
"Carlos Santana","Indians","150","661","551","143","30","1","30","93","96","100","104","5","3","1","",".260",".375",".483",".859",".360","","121","-0.4","0.0","","17.6","-12.8","2.7","","136.9","2396"
"Matt Carpenter","Cardinals","125","562","469","111","27","2","22","77","61","79","140","7","4","2","",".237",".352",".443",".795",".338","","111","-0.3","-5.8","","7.6","-4.2","2.1","","480.7","8090"
"Joey Votto","Reds","147","666","553","149","30","1","23","95","73","96","123","7","4","1","",".270",".383",".452",".835",".357","","117","-4.0","0.0","","11.1","-12.2","2.0","","282.6","4314"
"Brandon Belt","Giants","126","557","472","120","29","3","18","68","66","75","122","4","4","2","",".253",".358",".441",".799",".340","","113","-0.1","3.8","","9.1","-6.7","2.0","","537.7","10264"
