Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Christian Yelich,Brewers,150,672,570,174,35,4,36,112,100,86,137,7,22,7,,0.304,0.4,0.568,0.968,0.397,,145,3.3,0.5,,43.3,-6.5,5.7,11477
Juan Soto,Nationals,150,646,534,156,30,4,34,97,106,102,122,4,9,4,,0.292,0.406,0.555,0.961,0.399,,145,0.1,-1.9,,38.5,-9.4,4.9,20123
Ronald Acuna Jr.,Braves,150,680,593,167,29,3,37,107,93,70,166,7,29,11,,0.282,0.363,0.527,0.889,0.37,,127,2.9,-1.6,,27.2,-2.3,4.6,18401
Jeff McNeil,Mets,147,660,594,171,36,3,20,88,73,42,88,15,9,4,,0.288,0.347,0.462,0.81,0.342,,115,1,-0.3,,14.3,0.7,3.5,15362
Tommy Pham,Padres,146,652,557,151,28,3,25,92,76,79,141,7,18,7,,0.271,0.366,0.466,0.832,0.353,,120,1.4,1.9,,18.2,-5.4,3.3,2967
Joey Gallo,Rangers,149,616,513,118,22,2,43,90,101,90,216,6,8,3,,0.23,0.349,0.532,0.881,0.363,,118,2.3,3.1,,16.7,-5.1,3.2,14128
Michael Conforto,Mets,139,603,509,128,27,1,31,82,85,79,143,8,5,2,,0.251,0.358,0.489,0.847,0.354,,123,0.9,-0.6,,19.6,-7.2,3.1,16376
Kyle Schwarber,Cubs,138,585,498,126,22,2,37,86,90,75,155,5,5,2,,0.253,0.354,0.528,0.881,0.362,,123,0.4,1.4,,18.4,-5.5,3.1,16478
Rhys Hoskins,Phillies,150,656,543,131,27,3,36,93,96,99,153,9,4,2,,0.242,0.365,0.499,0.864,0.362,,122,0.3,2.2,,19.6,-10.3,3,16472
Starling Marte,Diamondbacks,149,664,607,173,33,7,24,89,85,36,123,13,26,9,,0.284,0.335,0.48,0.815,0.341,,109,1.6,-3.4,,9.2,-0.9,2.9,9241
Joc Pederson,Dodgers,107,466,401,103,20,3,26,72,68,51,99,8,3,1,,0.256,0.349,0.517,0.866,0.36,,128,0.7,1.1,,17.2,-4.7,2.8,11899
Austin Meadows,Rays,141,624,559,152,30,5,28,87,84,51,127,6,15,6,,0.272,0.337,0.492,0.83,0.344,,118,0.6,-2.8,,15.2,-8.9,2.8,15672
