"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Mike Trout","Angels","150","679","530","157","30","3","44","127","111","127","136","12","14","5","",".297",".440",".612","1.052",".427","","173","3.2","-1.7","","66.9","0.6","8.9","","2.3","10155"
"Cody Bellinger","Dodgers","150","639","543","156","30","3","42","100","116","86","116","4","12","5","",".287",".386",".585",".970",".392","","147","1.2","0.8","","40.9","0.7","6.0","","4.4","15998"
"Mookie Betts","Dodgers","150","695","595","167","39","3","32","114","85","83","102","6","18","5","",".280",".371",".517",".888",".369","","132","4.7","12.7","","33.8","5.3","6.0","","6.4","13611"
"Christian Yelich","Brewers","150","667","568","173","35","4","36","107","105","86","137","7","22","7","",".304",".399",".567",".966",".396","","145","3.3","0.7","","42.5","-6.7","5.6","","2.5","11477"
"George Springer","Astros","144","668","573","157","28","2","34","109","88","77","133","8","8","3","",".274",".365",".511",".876",".367","","134","0.7","-1.6","","29.4","-0.8","5.1","","47.9","12856"
"Juan Soto","Nationals","150","647","535","157","31","4","35","96","108","102","123","4","9","4","",".293",".407",".557",".963",".400","","146","0.1","-1.9","","39.0","-9.4","4.9","","10.3","20123"
"Kris Bryant","Cubs","149","684","576","158","36","2","31","107","84","82","151","16","5","2","",".274",".377",".505",".882",".370","","129","3.0","-2.4","","29.0","-0.9","4.9","","57.9","15429"
"Aaron Judge","Yankees","138","623","514","131","22","1","38","102","93","94","191","6","6","3","",".254",".373",".526",".899",".373","","135","0.4","6.9","","28.1","-0.6","4.8","","55.5","15640"
"Ronald Acuna Jr.","Braves","150","692","603","170","29","3","38","112","91","71","169","8","30","11","",".283",".363",".528",".891",".371","","128","3.1","0.0","","28.3","-3.4","4.6","","1.4","18401"
"Bryce Harper","Phillies","150","664","545","141","29","1","41","102","104","107","165","5","11","4","",".260",".383",".541",".925",".380","","134","0.3","0.0","","30.5","-7.5","4.3","","20.4","11579"
"Max Kepler","Twins","141","642","558","145","34","1","31","99","83","67","110","7","6","3","",".260",".344",".491",".835",".350","","118","1.4","5.9","","16.1","-0.4","3.7","","145.7","12144"
"Giancarlo Stanton","Yankees","128","554","482","129","22","1","44","89","109","61","163","6","2","1","",".268",".355",".590",".945",".385","","143","-0.4","0.5","","29.9","-12.2","3.6","","68.4","4949"
"J.D. Martinez","Red Sox","150","649","570","172","34","2","39","101","120","69","148","4","2","1","",".302",".378",".577",".955",".391","","142","-3.1","-0.4","","31.7","-17.5","3.6","","22.7","6184"
"Jeff McNeil","Mets","143","644","580","167","36","3","20","88","72","41","86","14","8","4","",".289",".348",".463",".811",".342","","116","0.9","-0.4","","14.2","0.7","3.5","","84.5","15362"
"Tommy Pham","Padres","141","637","544","148","27","3","25","92","73","77","137","7","18","6","",".272",".366",".467",".834",".353","","120","1.3","1.8","","18.1","-5.2","3.3","","77.6","2967"
"Ramon Laureano","Athletics","133","587","527","139","31","1","23","80","75","44","147","8","14","5","",".264",".328",".458",".786",".331","","110","2.3","0.7","","9.5","2.8","3.2","","78.7","17128"
"Kyle Schwarber","Cubs","138","590","504","128","23","2","37","84","98","76","157","5","4","2","",".254",".354",".529",".883",".363","","124","0.3","1.4","","18.7","-5.5","3.1","","133.3","16478"
"Joey Gallo","Rangers","134","581","485","112","21","2","41","86","98","85","205","6","7","3","",".231",".349",".534",".883",".363","","119","2.1","3.3","","16.0","-4.5","3.1","","87.1","14128"
"Byron Buxton","Twins","130","489","444","117","29","3","18","67","66","33","124","4","22","6","",".263",".318",".462",".780",".326","","102","4.1","5.9","","5.2","8.1","3.0","","145.2","14161"
"Brian Anderson","Marlins","150","673","591","153","34","2","21","84","72","61","142","13","5","2","",".260",".339",".433",".772",".329","","106","0.1","0.2","","5.3","2.7","2.9","","213.9","18289"
"Starling Marte","Diamondbacks","141","646","589","167","32","6","24","92","75","35","120","12","27","9","",".284",".335",".481",".816",".341","","109","1.8","-3.2","","9.5","-0.9","2.9","","25.0","9241"
"Rhys Hoskins","Phillies","146","633","524","127","26","2","35","88","96","95","148","8","3","2","",".242",".364",".500",".864",".361","","122","0.2","2.1","","18.9","-10.1","2.8","","113.0","16472"
"Michael Conforto","Mets","130","550","465","117","24","1","28","72","80","72","131","8","5","2","",".251",".358",".490",".848",".355","","124","0.8","-0.5","","18.1","-6.8","2.8","","127.4","16376"
"Luis Robert","White Sox","138","533","491","134","24","5","24","69","77","26","135","7","20","9","",".272",".317",".485",".802",".334","","110","0.5","0.0","","7.2","2.3","2.8","","999.0","sa3003396"
"Alex Verdugo","Red Sox","126","510","458","141","32","3","14","65","67","42","69","4","6","3","",".307",".367",".480",".846",".357","","119","0.4","3.8","","12.6","-2.5","2.7","","231.2","17027"
"Austin Meadows","Rays","136","613","549","149","30","5","27","88","83","50","125","6","14","6","",".272",".338",".494",".831",".345","","119","0.5","-2.2","","15.2","-8.9","2.7","","35.0","15672"
"Eloy Jimenez","White Sox","139","573","526","147","25","2","32","76","90","36","130","5","1","1","",".280",".329",".521",".850",".352","","122","0.8","-2.5","","17.1","-9.8","2.7","","61.3","17484"
"Lorenzo Cain","Brewers","139","631","558","155","29","1","15","84","62","57","109","7","18","6","",".277",".349",".416",".764",".328","","100","1.3","3.2","","1.3","5.5","2.7","","174.6","9077"
"Andrew Benintendi","Red Sox","146","668","583","159","39","4","19","98","73","69","130","6","14","5","",".273",".354",".453",".806",".342","","109","1.5","1.5","","9.2","-5.5","2.7","","117.3","17901"
"Marcell Ozuna","Braves","144","622","558","154","27","2","31","80","98","56","129","3","7","3","",".276",".342",".495",".837",".350","","114","0.2","1.9","","11.5","-5.3","2.6","","94.7","10324"
"Joc Pederson","Dodgers","99","419","363","93","19","2","26","61","68","44","89","7","2","1","",".256",".345",".537",".882",".364","","128","0.6","1.7","","16.4","-3.7","2.5","","216.3","11899"
"Michael Brantley","Astros","136","602","543","157","33","2","20","80","85","48","70","5","5","2","",".289",".350",".467",".817",".344","","118","0.1","-1.3","","14.1","-9.7","2.5","","124.6","4106"
"Andrew McCutchen","Phillies","133","614","520","135","26","2","28","91","70","78","136","6","9","4","",".259",".360",".477",".836",".354","","117","-0.8","-2.4","","13.1","-9.0","2.3","","221.6","9847"
"Bryan Reynolds","Pirates","141","635","569","164","33","4","18","82","68","52","135","6","6","3","",".288",".351",".454",".805",".341","","111","0.5","-1.9","","9.8","-7.1","2.3","","182.6","19326"
"Mark Canha","Athletics","130","544","470","118","25","2","23","70","74","55","127","13","3","2","",".251",".343",".461",".804",".339","","115","-0.2","-0.7","","10.2","-6.6","2.2","","231.7","11445"
"Jorge Soler","Royals","146","640","553","143","30","1","35","87","98","72","172","8","4","2","",".258",".349",".504",".854",".356","","121","-0.5","-0.7","","16.7","-16.5","2.2","","88.6","14221"
"Eddie Rosario","Twins","134","571","535","152","31","2","27","77","92","29","95","2","4","2","",".284",".320",".502",".822",".340","","111","2.0","-0.9","","9.9","-7.7","2.2","","94.4","12155"
"Whit Merrifield","Royals","150","695","630","178","37","6","14","92","65","48","116","6","24","8","",".282",".337",".427",".764",".324","","99","2.8","-4.8","","1.9","-4.6","2.1","","55.3","11281"
"Victor Robles","Nationals","150","650","583","153","33","3","18","81","73","42","137","16","29","12","",".262",".326",".423",".750",".318","","92","1.4","3.4","","-5.3","5.6","2.1","","67.3","18363"
"Adam Eaton","Nationals","139","631","547","155","29","5","14","87","63","63","109","11","12","4","",".283",".366",".432",".798",".343","","108","1.9","-1.2","","8.9","-8.2","2.1","","200.4","11205"
"Brandon Nimmo","Mets","115","526","431","100","22","3","15","70","47","77","141","11","8","3","",".232",".359",".400",".759",".330","","107","1.1","-5.4","","6.3","-4.3","1.9","","386.7","12927"
"Adam Frazier","Pirates","130","579","519","144","30","5","10","67","56","45","78","8","7","4","",".277",".341",".413",".754",".321","","98","1.0","-1.4","","-0.5","0.8","1.9","","556.8","15223"
"Brett Gardner","Yankees","120","515","453","112","20","4","17","66","60","51","101","5","9","3","",".246",".327",".423",".749",".320","","99","2.2","-1.0","","1.2","-0.7","1.8","","343.2","9927"
"Randal Grichuk","Blue Jays","128","531","486","119","29","3","29","68","80","33","143","5","3","1","",".245",".299",".500",".798",".329","","105","0.2","-2.7","","3.6","-3.7","1.8","","253.7","10243"
"Kevin Kiermaier","Rays","113","448","403","97","18","5","13","51","52","32","103","5","14","5","",".240",".302",".411",".714",".301","","89","2.0","5.1","","-4.2","7.0","1.8","","466.9","11038"
"David Peralta","Diamondbacks","128","550","495","138","29","3","20","67","75","44","111","5","2","1","",".280",".342",".472",".814",".341","","109","0.1","0.1","","6.4","-6.1","1.8","","236.4","2136"
"Trent Grisham","Padres","118","499","433","106","20","3","18","59","62","56","108","4","8","4","",".246",".334",".428",".762",".324","","101","0.5","-0.6","","1.2","0.8","1.8","","320.4","18564"
"Jackie Bradley Jr.","Red Sox","131","504","439","106","26","3","17","64","62","49","132","9","9","4","",".240",".325",".427",".752",".319","","93","1.7","0.8","","-2.8","3.0","1.7","","562.7","12984"
"Charlie Blackmon","Rockies","141","630","567","167","32","5","29","91","91","48","116","8","7","3","",".295",".356",".521",".877",".365","","111","0.2","-4.9","","9.0","-11.9","1.7","","49.6","7859"
"Shed Long","Mariners","122","560","503","125","24","3","17","68","53","44","136","4","11","4","",".248",".311",".407",".719",".306","","93","1.2","-0.7","","-4.0","0.8","1.6","","526.7","16542"
"Stephen Piscotty","Athletics","120","486","431","113","26","1","19","60","65","42","102","6","2","1","",".263",".335",".464",".798",".336","","113","-0.8","-2.0","","7.2","-8.2","1.6","","551.2","13367"
"Harrison Bader","Cardinals","107","419","368","88","16","2","14","44","48","37","119","8","9","4","",".239",".319",".408",".727",".308","","91","1.2","5.7","","-3.6","6.1","1.6","","528.7","18030"
"Lourdes Gurriel Jr.","Blue Jays","136","599","557","148","30","2","27","75","88","29","139","7","8","4","",".266",".308",".474",".782",".326","","103","0.3","-0.5","","2.3","-8.0","1.5","","147.8","19238"
"Austin Hays","Orioles","113","507","471","122","25","2","22","63","66","25","109","5","9","4","",".259",".300",".459",".759",".317","","95","0.4","-1.4","","-3.0","0.5","1.5","","263.9","19363"
"Franmil Reyes","Indians","136","572","511","133","23","1","36","80","95","52","148","3","1","1","",".260",".329",".518",".847",".350","","115","-0.6","-0.5","","10.2","-15.1","1.5","","109.1","14566"
"Jason Heyward","Cubs","118","488","428","112","21","3","13","54","56","50","82","4","5","2","",".262",".342",".419",".761",".324","","99","1.3","4.4","","0.4","-0.8","1.5","","546.0","4940"
"Justin Upton","Angels","139","578","507","121","23","1","28","72","80","61","174","5","5","2","",".240",".325",".456",".781",".329","","107","0.7","-3.4","","6.0","-11.9","1.4","","200.2","5222"
"J.D. Davis","Mets","117","484","435","115","22","1","21","58","66","40","112","4","3","1","",".264",".329",".462",".791",".332","","109","-0.7","-3.4","","5.1","-6.8","1.4","","169.5","16219"
"Khris Davis","Athletics","146","604","535","130","23","1","37","80","94","56","169","7","1","0","",".243",".321",".497",".818",".339","","115","-1.8","-0.1","","9.5","-17.0","1.3","","178.4","9112"
"Marwin Gonzalez","Twins","112","461","414","112","24","1","16","57","60","37","98","5","2","1","",".270",".334",".445",".780",".329","","104","-0.5","-0.7","","1.7","-4.3","1.3","","548.4","5497"
"Nomar Mazara","White Sox","120","488","440","112","22","1","23","60","70","37","109","5","3","1","",".255",".318",".468",".786",".328","","106","-0.5","-0.8","","3.2","-6.8","1.3","","246.6","14553"
"Kyle Tucker","Astros","100","415","371","92","18","2","20","56","59","34","100","4","14","5","",".247",".314",".465",".779",".325","","105","0.5","0.1","","3.4","-4.5","1.3","","170.3","18345"
"Ian Happ","Cubs","100","398","342","82","16","1","17","47","52","46","116","3","6","2","",".238",".332",".444",".776",".328","","101","0.1","-1.2","","0.5","0.1","1.3","","258.2","17919"
"Howie Kendrick","Nationals","80","332","301","93","19","1","11","42","46","23","53","4","3","1","",".308",".362",".483",".845",".356","","117","-0.7","-0.8","","6.7","-4.2","1.3","","463.0","4229"
"Yasiel Puig","","86","361","323","87","16","1","16","45","53","31","75","3","9","4","",".268",".335",".479",".814",".340","","111","-0.7","-0.1","","4.3","-4.4","1.2","","214.6","14225"
"Jesse Winker","Reds","104","431","373","105","20","1","15","52","54","48","69","5","2","1","",".281",".369",".463",".831",".353","","115","-0.9","-3.9","","7.4","-9.3","1.2","","530.3","13590"
"Kole Calhoun","Diamondbacks","128","531","462","112","23","2","22","62","67","58","128","5","4","2","",".243",".332",".442",".775",".326","","99","-0.1","1.9","","-0.7","-4.5","1.2","","339.4","11200"
"Gregory Polanco","Pirates","126","545","483","120","27","3","21","65","71","52","124","4","9","3","",".249",".325",".449",".774",".325","","100","0.4","-0.2","","0.6","-6.5","1.1","","287.9","12907"
"Manuel Margot","Rays","86","354","320","80","16","3","9","41","39","27","67","2","12","5","",".250",".310",".404",".715",".303","","91","0.8","4.0","","-3.4","2.7","1.1","","549.7","14712"
"Anthony Santander","Orioles","134","597","554","145","30","2","24","72","78","32","119","5","5","2","",".262",".306",".456",".762",".318","","96","0.5","0.3","","-2.8","-6.9","1.1","","401.2","14551"
"Willie Calhoun","Rangers","130","566","511","140","26","2","26","74","84","44","86","5","2","1","",".274",".335",".485",".820",".343","","105","-0.4","-3.3","","3.1","-11.7","1.1","","181.3","17838"
"Corey Dickerson","Marlins","122","532","493","134","31","4","19","62","69","30","107","4","4","2","",".272",".317",".464",".780",".324","","102","-0.8","-0.8","","0.9","-6.9","1.1","","270.9","10762"
"Aaron Hicks","Yankees","52","225","192","46","9","1","9","30","29","29","51","2","3","1","",".240",".342",".439",".781",".333","","107","0.6","-0.4","","2.7","0.5","1.1","","521.7","5297"
"David Dahl","Rockies","128","584","529","146","30","5","23","83","69","41","149","5","10","4","",".276",".332",".480",".812",".339","","94","1.2","-3.9","","-3.5","-4.7","1.0","","145.0","13744"
"Alex Gordon","Royals","118","502","444","114","23","1","14","56","57","42","97","11","5","2","",".258",".334",".407",".741",".317","","94","-0.9","3.3","","-4.5","-2.6","1.0","","574.9","5209"
"Oscar Mercado","Indians","133","600","544","139","29","3","15","76","65","41","116","7","22","10","",".256",".314",".403",".716",".306","","85","0.8","0.5","","-10.9","0.4","1.0","","117.1","16375"
"Nick Senzel","Reds","108","476","428","112","24","3","14","59","51","37","110","4","14","5","",".261",".323",".432",".756",".320","","93","0.3","0.1","","-3.9","-1.0","1.0","","208.1","19293"
"A.J. Pollock","Dodgers","93","400","362","92","20","1","16","50","54","27","85","6","7","2","",".254",".315",".450",".765",".321","","100","0.9","-0.4","","1.1","-3.9","1.0","","371.1","9256"
"Mitch Haniger","Mariners","71","318","278","69","15","1","12","40","37","31","79","5","3","1","",".249",".334",".446",".780",".330","","109","-0.2","0.0","","3.5","-4.6","1.0","","521.2","14274"
"Cameron Maybin","Tigers","109","487","425","109","23","1","11","61","44","51","111","3","16","6","",".256",".338",".394",".732",".316","","95","0.8","-0.3","","-2.4","-5.0","1.0","","532.1","5223"
"Nicholas Castellanos","Reds","139","598","543","148","40","2","25","77","86","43","139","5","3","1","",".273",".329",".492",".821",".342","","108","-0.3","-8.4","","5.7","-15.4","0.9","","86.6","11737"
"Ender Inciarte","Braves","102","426","382","101","18","3","8","45","45","35","66","3","12","5","",".265",".330",".387",".718",".308","","87","1.7","1.0","","-5.9","1.8","0.9","","483.2","4922"
"Hunter Renfroe","Rays","123","518","470","109","22","1","28","64","76","38","151","5","3","1","",".231",".293",".459",".752",".312","","97","-0.3","0.0","","-2.4","-6.5","0.9","","255.2","15464"
"Yoenis Cespedes","Mets","65","285","255","65","13","1","15","38","40","24","73","3","3","1","",".255",".323",".491",".814",".337","","112","0.2","-0.8","","4.7","-4.8","0.9","","418.6","13110"
"Mike Yastrzemski","Giants","138","607","540","131","29","4","18","70","64","54","158","5","7","3","",".243",".316",".415",".731",".310","","93","0.9","-2.1","","-4.9","-5.6","0.9","","321.7","14854"
"Scott Kingery","Phillies","136","549","502","120","27","3","17","56","64","34","146","5","14","5","",".240",".294",".403",".697",".295","","79","2.1","2.1","","-13.4","4.5","0.9","","149.6","17975"
"Ryan Braun","Brewers","107","453","410","110","23","1","21","58","68","34","93","5","8","3","",".269",".329",".487",".816",".339","","107","-0.9","-2.0","","3.4","-9.2","0.9","","244.8","3410"
"Josh Reddick","Astros","94","369","333","89","15","2","12","45","47","30","54","1","3","1","",".267",".326",".429",".755",".319","","101","0.3","-1.0","","1.0","-5.5","0.8","","588.9","3892"
"D.J. Stewart","Orioles","96","374","326","83","16","1","15","45","46","37","80","5","6","3","",".253",".336",".443",".779",".330","","103","0.1","-1.2","","1.8","-6.4","0.8","","600.3","17766"
"Mallex Smith","Mariners","136","536","478","119","22","6","7","58","46","43","119","6","36","11","",".249",".318",".360",".678",".294","","85","3.9","-5.1","","-6.4","-4.1","0.8","","171.2","13608"
"Enrique Hernandez","Dodgers","66","274","241","59","13","1","11","34","35","27","55","2","2","1","",".246",".325",".445",".770",".323","","102","0.6","0.2","","1.3","-1.7","0.8","","576.9","10472"
"Alex Dickerson","Giants","101","418","376","103","21","4","13","46","52","32","88","5","3","1","",".273",".336",".449",".785",".330","","106","-0.2","-3.0","","3.2","-8.5","0.8","","586.0","12649"
"Adam Haseley","Phillies","105","409","369","94","18","1","11","40","46","28","85","5","5","2","",".255",".313",".404",".718",".305","","85","0.4","0.8","","-7.5","2.4","0.8","","580.4","19878"
"Shin-Soo Choo","Rangers","139","644","546","140","26","2","22","90","66","77","159","11","10","3","",".256",".356",".432",".788",".338","","102","-0.2","-2.2","","1.1","-15.8","0.8","","220.4","3174"
"Avisail Garcia","Brewers","109","451","411","110","20","2","19","52","62","29","107","6","6","3","",".269",".324",".462",".786",".329","","100","-0.6","-1.4","","-0.3","-6.5","0.8","","210.3","5760"
"Jordan Luplow","Indians","70","289","253","63","14","1","12","37","39","30","65","3","4","2","",".250",".334",".451",".784",".332","","102","0.0","1.0","","0.8","-3.3","0.7","","599.1","16424"
