Name,Team,G,PA,AB,H,2B,3B,HR,R,RBI,BB,SO,HBP,SB,CS,-1,AVG,OBP,SLG,OPS,wOBA,-1,wRC+,BsR,Fld,-1,Off,Def,WAR,playerid
Mookie Betts,Red Sox,150,688,589,165,38,3,31,111,86,82,101,6,17,5,,0.28,0.371,0.516,0.886,0.368,,131,4.5,12.7,,33,5.3,5.9,13611
Christian Yelich,Brewers,150,672,570,174,35,4,36,112,100,86,137,7,22,7,,0.304,0.4,0.568,0.968,0.397,,145,3.3,0.5,,43.3,-6.5,5.7,11477
Aaron Judge,Yankees,150,670,554,141,24,1,41,107,101,102,206,6,6,3,,0.254,0.372,0.525,0.897,0.373,,134,0.5,8.1,,29.8,0.6,5.3,15640
George Springer,Astros,149,687,589,161,28,2,35,112,91,79,137,8,8,3,,0.273,0.365,0.51,0.874,0.367,,133,0.7,-1.7,,29.9,-0.6,5.2,12856
Bryce Harper,Phillies,150,664,544,141,29,1,41,102,102,107,165,5,11,4,,0.259,0.383,0.54,0.924,0.38,,134,0.3,0,,30.3,-7.5,4.3,11579
Giancarlo Stanton,Yankees,139,612,531,142,24,1,48,101,115,68,180,7,3,1,,0.268,0.355,0.589,0.944,0.385,,143,-0.4,0.9,,32.9,-11.3,4.2,4949
Max Kepler,Twins,147,640,558,145,34,1,30,93,89,66,109,7,6,3,,0.26,0.343,0.49,0.833,0.349,,117,1.3,6.2,,15.5,-0.5,3.7,12144
J.D. Martinez,Red Sox,150,649,570,172,34,2,39,101,119,69,148,4,3,1,,0.301,0.378,0.576,0.954,0.39,,142,-3.1,-1.1,,31.4,-17.4,3.6,6184
Alex Verdugo,Dodgers,146,603,542,166,38,3,16,81,78,50,81,4,7,3,,0.307,0.367,0.479,0.846,0.357,,119,0.4,4.4,,14.9,-2.9,3.2,17027
Michael Conforto,Mets,139,603,509,128,27,1,31,82,85,79,143,8,5,2,,0.251,0.358,0.489,0.847,0.354,,123,0.9,-0.6,,19.6,-7.2,3.1,16376
Austin Meadows,Rays,141,624,559,152,30,5,28,87,84,51,127,6,15,6,,0.272,0.337,0.492,0.83,0.344,,118,0.6,-2.8,,15.2,-8.9,2.8,15672
Brian Anderson,Marlins,150,655,576,149,33,2,21,76,76,59,139,12,5,2,,0.259,0.339,0.432,0.771,0.328,,105,0.1,1.1,,4.7,-1.9,2.3,18289
Adam Eaton,Nationals,146,656,569,161,30,5,15,90,65,66,114,12,12,4,,0.282,0.366,0.433,0.799,0.343,,109,2.1,-1.3,,9.6,-8.6,2.2,11205
Andrew McCutchen,Phillies,131,590,502,130,25,2,27,83,74,75,131,6,8,4,,0.258,0.359,0.476,0.835,0.353,,117,-0.9,-2.3,,12,-8.9,2.2,9847
Jorge Soler,Royals,149,637,551,142,30,1,34,87,96,72,171,8,3,2,,0.257,0.349,0.503,0.852,0.356,,121,-0.5,-0.9,,16.4,-16.7,2.2,14221
David Peralta,Diamondbacks,138,605,544,152,32,4,22,77,77,48,121,6,3,1,,0.279,0.342,0.471,0.813,0.341,,109,0.2,0.1,,7.1,-6.5,2,2136
Randal Grichuk,Blue Jays,130,548,502,123,30,3,30,71,84,34,148,5,3,1,,0.245,0.298,0.499,0.797,0.329,,104,0.2,-1.3,,3.4,-4.4,1.8,10243
Brandon Nimmo,Mets,118,509,418,97,21,3,15,63,50,74,137,10,7,3,,0.231,0.358,0.399,0.757,0.329,,107,1,-5.2,,5.7,-4.6,1.7,12927
Yasiel Puig,,123,514,460,123,23,2,23,64,75,45,106,4,13,6,,0.267,0.335,0.478,0.814,0.341,,111,-1,-0.1,,6.2,-6.2,1.7,14225
Mitch Haniger,Mariners,115,512,446,111,24,2,20,64,60,51,127,8,5,2,,0.249,0.334,0.445,0.779,0.33,,109,-0.4,-0.3,,5.5,-6.6,1.7,14274
Trent Grisham,Padres,120,522,452,111,20,4,18,66,56,59,112,4,10,4,,0.245,0.335,0.427,0.761,0.324,,101,0.8,3.5,,1.5,-2.3,1.6,18564
Jason Heyward,Cubs,122,507,444,116,22,3,14,59,58,52,85,4,6,2,,0.261,0.341,0.418,0.76,0.324,,98,1.4,3.5,,0.1,-0.5,1.6,4940
Nomar Mazara,White Sox,122,523,473,120,23,1,25,66,77,40,117,5,3,1,,0.255,0.318,0.467,0.784,0.327,,106,-0.6,-0.9,,3.1,-6.9,1.4,14553
Franmil Reyes,Indians,136,572,510,133,23,1,36,80,93,52,148,3,1,1,,0.26,0.329,0.517,0.846,0.35,,114,-0.6,-0.1,,10,-15.7,1.4,14566
Kyle Tucker,Astros,99,409,366,91,18,2,20,56,59,33,98,4,14,5,,0.248,0.315,0.471,0.785,0.328,,107,0.5,0.4,,4.1,-4.7,1.3,18345
Austin Hays,Orioles,107,446,415,107,22,1,19,53,59,21,96,4,8,4,,0.258,0.299,0.457,0.756,0.316,,94,0.3,-1.3,,-3.2,0.4,1.3,19363
Kole Calhoun,Diamondbacks,134,576,500,122,25,2,23,71,71,63,138,6,4,2,,0.243,0.332,0.441,0.774,0.326,,99,-0.1,2,,-1,-4.7,1.3,11200
Stephen Piscotty,Athletics,96,398,354,93,21,1,16,50,53,34,84,5,2,1,,0.262,0.333,0.46,0.793,0.334,,112,-0.7,-1.5,,5.3,-6.6,1.2,13367
Gregory Polanco,Pirates,136,584,517,128,29,3,23,70,74,56,132,5,9,4,,0.249,0.325,0.448,0.773,0.324,,100,0.5,-0.2,,0.6,-7,1.2,12907
Nicholas Castellanos,Reds,139,618,561,153,41,2,26,82,84,44,144,6,3,1,,0.273,0.33,0.494,0.823,0.343,,108,-0.3,-8.3,,6.3,-15.3,1.1,11737
Anthony Santander,Orioles,136,582,539,141,30,2,24,68,78,31,116,5,5,2,,0.262,0.305,0.454,0.76,0.318,,95,0.5,-0.5,,-3.1,-6.6,1.1,14551
Hunter Renfroe,Rays,133,560,508,117,23,1,30,69,82,41,163,5,4,2,,0.231,0.293,0.46,0.753,0.313,,97,-0.3,0,,-2.4,-6.6,1,15464
Jesse Winker,Reds,91,394,340,95,18,1,14,51,47,44,63,5,2,1,,0.28,0.368,0.46,0.828,0.351,,114,-0.8,-3,,6.4,-8.5,1,13590
Tyler Naquin,Indians,84,333,304,84,18,1,11,40,43,22,79,3,5,2,,0.275,0.326,0.449,0.775,0.325,,98,0.4,1.7,,-0.5,-2.5,0.8,13359
D.J. Stewart,Orioles,87,356,311,79,15,1,14,42,44,35,77,5,6,3,,0.253,0.335,0.442,0.777,0.329,,103,0.2,-1.2,,1.5,-5.6,0.8,17766
Mike Yastrzemski,Giants,136,591,525,127,28,4,18,67,61,52,154,5,7,3,,0.243,0.315,0.414,0.73,0.309,,93,0.8,-1.5,,-5,-5.9,0.8,14854
Josh Reddick,Astros,83,340,307,82,14,2,11,42,43,27,50,1,3,1,,0.267,0.326,0.428,0.754,0.319,,101,0.3,-0.9,,0.8,-4.8,0.8,3892
Avisail Garcia,Brewers,117,502,458,123,22,2,21,61,70,32,119,7,6,3,,0.269,0.324,0.462,0.786,0.329,,100,-0.7,-1.4,,-0.5,-7.7,0.8,5760
Shin-Soo Choo,Rangers,146,665,564,144,27,2,23,92,70,79,165,11,10,3,,0.255,0.356,0.431,0.787,0.337,,101,-0.3,-2.5,,0.7,-16.5,0.7,3174
Dexter Fowler,Cardinals,130,555,473,111,24,2,17,64,58,68,135,6,8,3,,0.235,0.336,0.399,0.734,0.317,,97,0.8,-3.4,,-1.5,-8.8,0.7,4062
Jordan Luplow,Indians,68,282,247,62,13,1,11,36,38,29,64,3,4,2,,0.25,0.333,0.449,0.782,0.331,,102,0,1,,0.6,-3,0.7,16424
Domingo Santana,,107,458,399,100,20,1,19,57,59,50,143,4,6,3,,0.251,0.337,0.445,0.783,0.332,,105,0.5,-5.3,,3.4,-11.7,0.7,10348
Steven Souza Jr.,Cubs,88,376,327,78,14,2,17,49,51,41,109,4,6,3,,0.24,0.33,0.454,0.784,0.331,,103,0.9,-1.7,,2.4,-7.5,0.7,5667
Tyler O'Neill,Cardinals,110,449,407,97,17,1,22,53,63,33,142,3,5,2,,0.237,0.297,0.449,0.746,0.312,,94,0.7,1.5,,-3.1,-4.4,0.7,15711
Nick Markakis,Braves,109,462,409,115,25,2,11,53,56,45,66,3,1,1,,0.282,0.355,0.428,0.783,0.333,,103,-1.4,-3.6,,0.5,-9.3,0.6,5930
Jose Martinez,Rays,79,334,298,80,14,1,10,39,40,30,72,2,2,1,,0.27,0.338,0.426,0.764,0.326,,106,-0.2,-0.3,,2.3,-9,0.5,7996
Travis Demeritte,Tigers,62,249,221,53,11,2,10,28,31,22,72,2,3,1,,0.24,0.313,0.435,0.748,0.316,,95,0.2,-0.3,,-1.5,-3.4,0.4,15958
Matt Joyce,Marlins,66,268,226,54,11,0,9,31,29,37,58,2,2,1,,0.238,0.346,0.411,0.757,0.326,,104,-0.3,-1.3,,1.1,-5.9,0.4,3353
Randy Arozarena,Rays,34,137,122,31,6,1,4,16,15,10,30,3,5,2,,0.256,0.323,0.41,0.732,0.312,,97,0.1,0.4,,-0.5,-0.9,0.3,19290
Aristides Aquino,Reds,98,416,381,92,17,1,24,51,65,27,117,4,5,2,,0.24,0.294,0.481,0.775,0.32,,93,0.2,-1.3,,-3.6,-6.6,0.3,15482
Jose Osuna,Pirates,75,306,280,74,19,1,9,33,38,20,59,2,2,1,,0.265,0.317,0.439,0.756,0.319,,97,-0.3,-2.1,,-1.6,-5.9,0.2,12937
Steven Duggar,Giants,71,301,270,65,14,2,5,29,26,25,85,2,6,3,,0.242,0.307,0.361,0.668,0.289,,79,0.4,-0.9,,-7.9,0.3,0.2,17719
Austin Slater,Giants,51,209,183,46,9,1,5,22,21,20,57,3,3,1,,0.25,0.333,0.389,0.721,0.311,,94,0.3,-0.3,,-1.4,-3.3,0.2,16153
Hunter Pence,Giants,72,301,274,71,13,1,10,32,37,21,71,2,4,2,,0.259,0.315,0.427,0.742,0.314,,95,0,-1.4,,-1.8,-6.1,0.2,8252
Kyle Lewis,Mariners,128,542,492,115,24,1,17,56,61,41,156,3,3,1,,0.233,0.294,0.392,0.687,0.292,,83,0.6,-0.3,,-10.9,-6.7,0.2,19508
Billy McKinney,Blue Jays,34,141,126,30,7,1,5,17,17,12,33,1,1,0,,0.239,0.308,0.439,0.747,0.314,,95,0,-0.1,,-0.9,-2.5,0.1,15654
Jake Cave,Twins,23,91,82,21,4,1,3,11,11,6,26,1,1,0,,0.256,0.315,0.423,0.738,0.312,,92,0.1,-0.1,,-0.8,-0.9,0.1,14477
Garrett Cooper,Marlins,43,185,167,44,9,1,5,20,21,14,46,2,0,0,,0.262,0.323,0.42,0.744,0.316,,97,-0.2,0.1,,-0.9,-3.7,0.1,15279
Clint Frazier,Yankees,21,86,78,19,4,0,4,11,11,6,22,1,1,0,,0.246,0.308,0.443,0.751,0.316,,96,0,-0.6,,-0.5,-1.7,0.1,15983
Ryan McBroom,Royals,45,186,169,43,9,0,6,20,21,13,49,2,1,0,,0.254,0.315,0.408,0.723,0.307,,88,0,0.1,,-2.9,-3.1,0.1,16524
Carlos Gonzalez,,24,102,91,22,5,0,4,11,13,9,27,1,1,0,,0.237,0.305,0.412,0.717,0.303,,86,0,0.2,,-1.9,-1,0.1,7287
Harold Ramirez,Marlins,21,89,83,23,5,0,2,9,10,4,17,1,1,0,,0.275,0.316,0.419,0.735,0.311,,94,0.1,-0.2,,-0.7,-1.7,0,14387
Scott Heineman,Rangers,29,119,107,27,5,1,3,13,13,9,30,1,2,1,,0.258,0.322,0.395,0.717,0.308,,81,-0.1,0.1,,-2.9,-0.9,0,14453
Jaylin Davis,Giants,23,92,83,20,4,0,3,9,11,7,26,1,1,1,,0.241,0.303,0.41,0.714,0.303,,88,0,-0.1,,-1.4,-1.2,0,19552
