"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Jose Altuve","Astros","149","674","601","178","34","4","25","102","91","57","99","7","12","4","",".296",".361",".487",".848",".357","","127","-0.5","-4.3","","22.5","-1.9","4.3","","36.3","5417"
"Ketel Marte","Diamondbacks","150","670","599","178","35","8","24","96","82","58","92","5","9","3","",".297",".360",".502",".862",".360","","121","1.0","-0.4","","19.9","2.3","4.3","","38.5","13613"
"Ozzie Albies","Braves","150","671","607","174","38","6","25","97","83","50","103","5","14","5","",".287",".344",".491",".835",".348","","113","2.6","4.4","","14.0","6.9","4.1","","30.5","16556"
"Yoan Moncada","White Sox","150","675","596","159","32","4","28","96","87","65","185","5","12","5","",".267",".341",".476",".817",".343","","116","2.0","0.3","","15.7","2.8","4.1","","61.6","17232"
"Gleyber Torres","Yankees","144","624","559","152","26","1","35","87","101","54","129","5","6","3","",".272",".340",".510",".850",".353","","121","-0.3","-8.4","","16.3","-1.2","3.6","","30.2","16997"
"Jeff McNeil","Mets","143","644","580","167","36","3","20","88","72","41","86","14","8","4","",".289",".348",".463",".811",".342","","116","0.9","-0.4","","14.2","0.7","3.5","","84.5","15362"
"DJ LeMahieu","Yankees","150","693","623","178","31","2","20","96","72","54","101","5","7","3","",".285",".345",".435",".780",".333","","107","-0.5","2.4","","6.1","4.5","3.4","","65.8","9874"
"Javier Baez","Cubs","150","658","613","167","35","4","34","88","104","34","175","4","15","6","",".273",".313",".508",".821",".337","","107","2.0","-1.6","","7.8","5.9","3.4","","33.4","12979"
"Brandon Lowe","Rays","134","615","544","135","29","3","25","83","70","55","169","7","8","3","",".248",".322",".448",".771",".325","","105","1.9","1.2","","6.2","3.0","3.0","","199.5","18882"
"Max Muncy","Dodgers","138","608","508","122","22","1","30","87","81","86","160","7","4","2","",".241",".356",".468",".823",".348","","118","1.3","2.3","","15.8","-7.2","2.7","","69.5","13301"
"Adalberto Mondesi","Royals","139","627","583","148","28","9","19","82","72","32","169","3","47","14","",".254",".293",".431",".724",".303","","85","4.5","4.1","","-7.2","11.0","2.5","","33.1","13769"
"Kolten Wong","Cardinals","130","577","504","135","28","3","12","72","53","51","89","13","17","6","",".267",".348",".410",".758",".324","","101","2.5","1.6","","3.3","3.8","2.5","","198.3","12532"
"Keston Hiura","Brewers","144","620","563","153","33","3","29","79","97","42","165","10","12","6","",".272",".331",".497",".827",".344","","110","0.1","-5.9","","8.6","-3.5","2.4","","41.6","20003"
"Luis Arraez","Twins","130","521","469","147","27","2","6","59","57","42","44","3","5","2","",".312",".370",".416",".786",".338","","110","0.8","-3.5","","7.4","-1.3","2.4","","261.2","18568"
"Cavan Biggio","Blue Jays","133","599","503","118","24","3","20","80","65","83","155","4","12","5","",".235",".346",".414",".759",".327","","104","1.1","-0.3","","3.8","-2.6","2.2","","125.2","19252"
"Whit Merrifield","Royals","150","695","630","178","37","6","14","92","65","48","116","6","24","8","",".282",".337",".427",".764",".324","","99","2.8","-4.8","","1.9","-4.6","2.1","","55.3","11281"
"Gavin Lux","Dodgers","130","544","488","130","24","4","17","67","64","45","112","3","9","4","",".267",".329",".438",".767",".324","","103","0.4","-0.9","","2.3","1.3","2.1","","174.2","19955"
"Cesar Hernandez","Indians","133","554","487","135","25","2","10","63","56","57","95","4","9","3","",".278",".356",".400",".755",".326","","98","0.5","-1.3","","-0.8","0.9","1.9","","275.0","10556"
"Adam Frazier","Pirates","130","579","519","144","30","5","10","67","56","45","78","8","7","4","",".277",".341",".413",".754",".321","","98","1.0","-1.4","","-0.5","0.8","1.9","","556.8","15223"
"David Fletcher","Angels","131","570","519","146","28","3","7","68","53","39","61","4","8","3","",".281",".334",".386",".720",".310","","94","0.5","1.8","","-4.0","2.3","1.8","","391.3","17992"
"Jonathan Villar","Marlins","144","658","586","151","28","4","17","82","60","58","168","5","33","10","",".258",".327",".408",".735",".315","","97","3.2","-7.0","","0.3","-3.4","1.8","","39.7","10071"
"Robinson Cano","Mets","117","500","455","123","28","0","17","58","67","35","80","5","1","0","",".271",".327",".449",".776",".326","","105","-1.9","-1.6","","1.2","0.3","1.7","","483.1","3269"
"Jonathan Schoop","Tigers","134","560","518","136","28","2","27","68","81","27","127","8","2","1","",".262",".306",".478",".784",".325","","101","-1.0","-4.2","","-0.2","-2.4","1.7","","313.9","11265"
"Shed Long","Mariners","122","560","503","125","24","3","17","68","53","44","136","4","11","4","",".248",".311",".407",".719",".306","","93","1.2","-0.7","","-4.0","0.8","1.6","","526.7","16542"
"Jurickson Profar","Padres","123","504","443","108","23","2","17","55","60","48","76","8","7","3","",".244",".327",".424",".751",".319","","98","0.6","-1.5","","-0.8","0.2","1.5","","449.8","10815"
"Luis Urias","Brewers","126","494","431","109","21","3","13","51","55","46","100","8","4","2","",".252",".333",".404",".737",".316","","92","-0.2","-1.7","","-5.3","4.5","1.5","","435.3","16622"
"Hanser Alberto","Orioles","134","578","545","157","26","2","12","62","59","20","57","5","6","3","",".288",".316",".412",".728",".308","","89","-0.3","0.4","","-8.6","2.8","1.4","","488.7","11902"
"Tommy La Stella","Angels","86","389","349","96","18","1","12","52","42","30","49","4","2","1","",".276",".338",".432",".770",".328","","106","0.1","-0.3","","3.2","-3.5","1.3","","321.2","12371"
"Howie Kendrick","Nationals","80","332","301","93","19","1","11","42","46","23","53","4","3","1","",".308",".362",".483",".845",".356","","117","-0.7","-0.8","","6.7","-4.2","1.3","","463.0","4229"
"Nicky Lopez","Royals","126","483","438","119","22","3","6","52","46","34","52","3","9","4","",".272",".327",".378",".705",".304","","86","0.3","1.7","","-8.4","4.2","1.3","","578.2","19339"
"Tommy Edman","Cardinals","115","465","428","118","21","5","10","47","53","27","78","5","13","5","",".275",".322",".421",".743",".315","","96","1.8","0.7","","-0.9","-2.0","1.2","","131.3","19470"
"Niko Goodrum","Tigers","136","609","545","131","29","4","18","73","66","52","166","4","12","5","",".241",".310",".407",".717",".305","","87","2.1","-5.8","","-8.0","-1.8","1.1","","277.7","12092"
"Starlin Castro","Nationals","120","517","481","136","25","2","16","60","69","28","93","3","3","1","",".283",".325",".441",".765",".322","","95","-0.9","-2.8","","-4.5","-0.8","1.1","","242.0","4579"
"Rougned Odor","Rangers","134","549","493","116","25","1","27","67","76","42","149","7","13","7","",".235",".302",".457",".759",".316","","87","1.5","-3.0","","-7.6","-0.8","1.1","","223.9","12282"
"Ryan McMahon","Rockies","125","509","454","122","25","2","20","60","68","46","136","3","5","2","",".268",".338",".463",".801",".337","","92","0.3","-0.6","","-4.8","-1.1","1.0","","176.3","15112"
"Michael Chavis","Red Sox","112","457","413","103","19","1","21","56","63","35","129","5","3","1","",".249",".313",".454",".766",".321","","95","-0.3","0.6","","-3.4","-2.3","1.0","","267.0","17321"
"Mauricio Dubon","Giants","120","478","445","119","23","1","12","44","54","23","75","3","11","5","",".266",".305",".404",".709",".300","","87","0.2","-0.4","","-8.2","2.2","0.9","","336.3","16530"
"Wilmer Flores","Giants","79","328","300","84","18","1","12","38","43","20","39","4","1","0","",".281",".332",".463",".795",".334","","109","-1.1","-2.0","","2.8","-4.5","0.9","","584.6","5827"
"Enrique Hernandez","Dodgers","66","274","241","59","13","1","11","34","35","27","55","2","2","1","",".246",".325",".445",".770",".323","","102","0.6","0.2","","1.3","-1.7","0.8","","576.9","10472"
"Franklin Barreto","Athletics","71","288","262","62","13","2","10","34","35","19","87","3","5","2","",".238",".297",".415",".712",".301","","89","0.5","0.0","","-3.6","1.3","0.8","","578.7","15519"
"Joey Wendle","Rays","73","306","280","72","16","2","5","32","31","17","59","5","7","3","",".257",".309",".380",".689",".295","","85","0.5","1.1","","-5.5","2.6","0.8","","586.9","13853"
"Joe Panik","Blue Jays","53","227","203","54","12","1","5","27","23","19","23","2","2","1","",".264",".330",".401",".731",".312","","94","-0.2","-0.2","","-2.1","0.8","0.7","","999.0","11936"
"Eric Sogard","Brewers","71","327","287","74","15","1","7","41","28","32","52","3","5","2","",".256",".335",".386",".721",".311","","88","0.3","0.0","","-4.7","0.8","0.7","","577.8","7927"
"Jose Peraza","Red Sox","63","263","244","69","12","1","5","31","29","12","34","4","7","3","",".283",".324",".404",".728",".310","","87","0.6","0.0","","-3.7","0.8","0.6","","320.1","13593"
"Asdrubal Cabrera","Nationals","64","269","240","64","14","1","9","32","34","23","54","2","1","1","",".265",".334",".439",".773",".327","","98","-1.2","-0.4","","-1.9","-0.9","0.6","","518.6","4962"
"Luis Rengifo","Angels","50","196","174","43","9","1","4","22","21","17","39","2","5","2","",".249",".320",".384",".704",".303","","89","0.3","-0.2","","-2.4","1.2","0.6","","599.5","19858"
"Isan Diaz","Marlins","126","519","459","107","20","3","17","53","60","49","132","5","6","3","",".233",".312",".399",".711",".303","","89","-0.3","-5.4","","-7.8","-3.3","0.6","","580.6","17922"
"Jason Kipnis","","58","242","216","53","13","1","7","27","27","21","46","2","3","1","",".246",".315",".407",".722",".308","","88","0.3","-0.3","","-3.7","0.2","0.4","","599.1","9776"
"Dee Gordon","Mariners","78","323","303","83","12","3","3","32","27","12","48","4","15","5","",".274",".307",".360",".667",".286","","79","1.6","-1.9","","-7.0","-0.4","0.4","","364.3","8203"
"Brandon Drury","Blue Jays","83","334","303","73","18","1","10","37","38","24","81","3","2","1","",".241",".300",".407",".707",".300","","85","-0.2","-0.1","","-6.6","-1.1","0.4","","597.8","11615"
"Brian Dozier","","48","197","171","39","8","0","8","23","24","21","43","2","2","1","",".228",".319",".422",".741",".315","","95","0.1","-0.4","","-1.2","-1.5","0.4","","592.4","9810"
"Brendan Rodgers","Rockies","46","184","169","47","9","1","6","21","24","10","38","2","2","1","",".280",".328",".453",".781",".329","","87","0.2","-0.2","","-3.0","0.4","0.3","","569.7","17907"
"Daniel Robertson","Rays","32","134","115","27","5","0","3","14","13","14","32","3","1","1","",".237",".330",".359",".689",".302","","90","-0.1","-0.3","","-1.8","0.2","0.3","","999.0","14145"
"Donovan Solano","Giants","49","204","189","52","11","1","3","20","19","9","37","2","1","0","",".276",".315",".382",".697",".299","","86","-0.2","0.4","","-4.1","0.5","0.3","","999.0","8623"
"David Bote","Cubs","66","263","230","56","11","1","8","29","30","25","68","4","3","1","",".241",".323",".403",".726",".309","","89","0.4","-0.9","","-3.6","-2.1","0.3","","577.3","14593"
"Sheldon Neuse","","29","120","110","28","6","0","3","13","13","8","34","1","1","0","",".256",".306",".392",".698",".297","","87","0.0","0.1","","-2.0","0.6","0.3","","600.5","19635"
"Daniel Murphy","Rockies","118","498","454","131","31","2","18","63","72","35","76","3","2","1","",".288",".341",".483",".824",".344","","97","-0.8","-0.8","","-2.7","-10.7","0.3","","271.4","4316"
"Brock Holt","Brewers","77","309","270","67","13","1","6","31","31","30","65","4","3","1","",".249",".332",".368",".700",".304","","84","-0.2","-0.3","","-6.7","-0.7","0.3","","600.4","9345"
"Brad Miller","Cardinals","41","167","146","35","7","1","7","19","21","17","45","1","2","1","",".238",".319",".436",".755",".319","","98","0.0","-1.4","","-0.4","-3.0","0.2","","600.9","12775"
"Scooter Gennett","","36","152","140","36","7","1","5","17","18","9","33","1","1","0","",".261",".310",".418",".728",".308","","89","-0.1","-1.6","","-2.3","-1.0","0.2","","591.8","10339"
"Yolmer Sanchez","","37","154","139","35","7","2","2","14","14","11","32","2","2","1","",".248",".310",".365",".675",".291","","81","0.1","-0.1","","-3.9","0.7","0.2","","999.0","11602"
"Dawel Lugo","Tigers","34","140","131","35","6","1","3","14","15","5","24","1","1","1","",".268",".299",".403",".703",".296","","81","-0.1","-0.3","","-3.4","0.2","0.2","","599.2","14713"
"Michael Brosseau","","15","60","55","14","3","0","2","7","7","4","13","1","1","0","",".251",".307",".412",".719",".305","","92","0.1","-0.2","","-0.6","0.1","0.2","","999.0","19683"
"Jed Lowrie","Mets","28","120","106","25","6","0","3","13","13","12","25","1","0","0","",".236",".315",".386",".701",".302","","89","-0.2","-0.4","","-2.0","-0.4","0.1","","600.6","4418"
"Greg Garcia","Padres","36","149","127","31","6","1","2","16","12","18","33","2","1","0","",".242",".345",".346",".691",".306","","89","0.3","-0.1","","-1.9","-1.7","0.1","","999.0","10951"
"Ben Zobrist","","23","98","86","22","5","0","2","11","9","10","15","1","1","0","",".261",".342",".389",".731",".317","","95","-0.2","-0.1","","-0.8","-1.5","0.1","","999.0","7435"
"Dustin Pedroia","Red Sox","10","40","36","10","2","0","1","5","4","3","6","0","0","0","",".265",".331",".384",".716",".309","","86","-0.2","0.2","","-0.9","0.4","0.1","","999.0","8370"
"Devon Travis","","16","66","61","16","3","0","2","7","8","3","12","1","1","0","",".262",".303",".422",".725",".305","","87","0.1","-0.7","","-1.0","-0.4","0.1","","999.0","13862"
"Thairo Estrada","","16","67","62","16","3","0","2","7","8","3","13","1","1","0","",".253",".296",".393",".690",".293","","81","0.1","-0.1","","-1.6","0.0","0.1","","599.3","16426"
"Ty France","Padres","8","34","31","8","2","0","1","4","4","2","7","1","0","0","",".260",".323",".446",".769",".325","","101","0.0","0.1","","0.0","-0.4","0.1","","594.9","17982"
"Luis Guillorme","Mets","31","124","110","27","5","0","2","12","12","12","20","1","1","1","",".250",".323",".349",".673",".294","","84","0.1","-0.4","","-2.5","-1.0","0.1","","999.0","16451"
"Tyler Wade","Yankees","32","128","116","27","5","1","2","14","12","10","31","1","4","2","",".237",".301",".348",".649",".281","","72","0.3","-0.6","","-4.2","0.1","0.0","","600.4","15730"
"Domingo Leyba","Diamondbacks","12","46","42","11","2","0","1","5","5","3","8","0","0","0","",".258",".308",".404",".713",".303","","84","0.0","-0.1","","-1.0","-0.2","0.0","","999.0","16404"
