"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Francisco Lindor","Indians","150","696","619","179","40","2","36","114","94","60","100","6","22","7","",".289",".355",".532",".887",".365","","125","0.7","7.8","","23.0","15.3","6.1","","8.1","12916"
"Xander Bogaerts","Red Sox","150","659","580","169","40","1","26","92","99","67","116","5","6","2","",".292",".368",".499",".867",".364","","124","1.6","-2.5","","21.4","5.0","4.8","","40.2","12161"
"Carlos Correa","Astros","138","557","483","132","28","2","29","79","88","63","121","4","3","1","",".273",".359",".520",".879",".366","","133","0.8","-1.1","","24.2","5.5","4.8","","110.2","14162"
"Manny Machado","Padres","150","664","591","161","29","3","37","92","104","63","119","4","7","3","",".272",".344",".519",".863",".356","","122","-0.6","4.7","","18.6","7.2","4.6","","62.0","11493"
"Marcus Semien","Athletics","150","690","605","163","34","4","25","101","78","71","113","3","13","5","",".270",".348",".466",".814",".344","","118","1.5","-4.9","","17.2","2.6","4.3","","92.5","12533"
"Ketel Marte","Diamondbacks","150","670","599","178","35","8","24","96","82","58","92","5","9","3","",".297",".360",".502",".862",".360","","121","1.0","-0.4","","19.9","2.3","4.3","","38.5","13613"
"Trea Turner","Nationals","149","678","607","176","36","4","22","99","79","56","127","5","38","10","",".291",".354",".472",".826",".348","","112","4.8","-2.5","","15.2","5.0","4.1","","9.5","16252"
"Trevor Story","Rockies","150","674","600","168","38","4","37","106","99","58","178","6","21","8","",".279",".347",".542",".888",".367","","112","1.9","0.1","","12.6","7.6","4.1","","12.2","12564"
"Fernando Tatis Jr.","Padres","146","674","600","160","25","7","31","98","78","56","180","7","24","9","",".266",".334",".486",".820",".343","","113","1.9","-2.8","","13.6","4.5","3.9","","17.4","19709"
"Corey Seager","Dodgers","131","537","477","133","32","1","20","66","74","49","98","5","2","1","",".278",".348",".479",".827",".347","","117","1.5","-0.1","","13.7","6.5","3.6","","143.3","13624"
"Bo Bichette","Blue Jays","143","662","601","166","42","3","22","94","72","45","134","5","24","9","",".275",".329",".465",".794",".333","","108","1.1","-0.7","","7.6","6.4","3.6","","49.0","19612"
"Gleyber Torres","Yankees","144","624","559","152","26","1","35","87","101","54","129","5","6","3","",".272",".340",".510",".850",".353","","121","-0.3","-8.4","","16.3","-1.2","3.6","","30.2","16997"
"Paul DeJong","Cardinals","150","646","578","146","31","1","30","78","93","52","152","10","7","3","",".253",".323",".465",".788",".330","","106","0.7","2.7","","5.5","10.2","3.6","","187.4","18015"
"Javier Baez","Cubs","150","658","613","167","35","4","34","88","104","34","175","4","15","6","",".273",".313",".508",".821",".337","","107","2.0","-1.6","","7.8","5.9","3.4","","33.4","12979"
"Andrelton Simmons","Angels","133","528","482","134","26","2","11","59","60","34","50","4","9","3","",".278",".327",".404",".732",".312","","96","-0.3","9.0","","-3.3","15.7","3.0","","523.2","10847"
"Jorge Polanco","Twins","149","674","604","170","36","5","19","95","82","56","111","5","8","4","",".281",".344",".454",".798",".337","","109","1.1","-9.2","","9.0","-2.0","3.0","","163.7","13152"
"Willy Adames","Rays","144","574","511","131","24","2","18","63","67","52","139","3","6","3","",".256",".326",".416",".742",".316","","99","1.1","-1.0","","0.5","6.2","2.6","","394.7","15986"
"Adalberto Mondesi","Royals","139","627","583","148","28","9","19","82","72","32","169","3","47","14","",".254",".293",".431",".724",".303","","85","4.5","4.1","","-7.2","11.0","2.5","","33.1","13769"
"Amed Rosario","Mets","149","592","547","151","28","5","14","61","66","32","106","4","18","8","",".276",".318",".424",".742",".313","","96","1.4","-1.1","","-1.5","6.3","2.3","","135.9","15518"
"Tim Anderson","White Sox","150","679","636","175","35","1","23","89","76","27","152","5","19","6","",".276",".308",".442",".750",".315","","97","1.5","-7.9","","-1.0","-0.4","2.2","","94.9","15172"
"J.P. Crawford","Mariners","143","640","554","129","27","4","14","73","59","71","135","6","8","4","",".233",".325",".373",".698",".303","","91","0.6","-0.6","","-6.8","6.5","2.2","","573.9","15491"
"Jean Segura","Phillies","131","573","527","152","30","3","14","69","63","32","73","6","11","4","",".288",".334",".433",".767",".325","","99","1.2","0.6","","0.2","3.4","2.1","","193.0","5933"
"Didi Gregorius","Phillies","134","562","518","134","25","3","23","65","78","34","82","5","5","2","",".259",".308",".451",".759",".317","","93","1.6","0.0","","-3.4","6.8","2.1","","221.7","6012"
"Carter Kieboom","Nationals","122","471","415","108","21","1","14","49","55","44","109","5","4","2","",".261",".336",".418",".754",".322","","94","0.3","6.6","","-3.2","8.8","2.0","","369.2","19958"
"Jonathan Villar","Marlins","144","658","586","151","28","4","17","82","60","58","168","5","33","10","",".258",".327",".408",".735",".315","","97","3.2","-7.0","","0.3","-3.4","1.8","","39.7","10071"
"Dansby Swanson","Braves","141","575","511","129","28","3","17","62","67","53","128","4","10","4","",".252",".325",".416",".741",".313","","90","1.8","-1.8","","-5.9","5.2","1.7","","244.5","18314"
"Brandon Crawford","Giants","131","562","501","124","28","2","14","59","56","49","118","4","4","2","",".248",".318",".394",".713",".302","","88","-0.1","2.2","","-9.2","8.8","1.7","","589.9","5343"
"Lourdes Gurriel Jr.","Blue Jays","136","599","557","148","30","2","27","75","88","29","139","7","8","4","",".266",".308",".474",".782",".326","","103","0.3","-0.5","","2.3","-8.0","1.5","","147.8","19238"
"Jose Iglesias","Orioles","134","558","519","139","28","3","10","58","56","26","70","5","9","4","",".269",".308",".389",".697",".296","","81","0.0","2.6","","-13.8","9.3","1.5","","575.8","10231"
"Luis Urias","Brewers","126","494","431","109","21","3","13","51","55","46","100","8","4","2","",".252",".333",".404",".737",".316","","92","-0.2","-1.7","","-5.3","4.5","1.5","","435.3","16622"
"Miguel Rojas","Marlins","117","466","424","116","24","1","7","43","44","29","58","6","6","3","",".274",".325",".387",".712",".305","","90","-1.2","1.4","","-7.4","6.8","1.4","","583.1","7802"
"Nick Ahmed","Diamondbacks","144","576","522","127","28","4","17","58","68","43","110","4","6","3","",".244",".305",".413",".717",".303","","84","0.6","0.1","","-11.7","7.3","1.4","","521.7","12147"
"Kevin Newman","Pirates","131","571","525","149","26","4","9","62","53","33","75","5","18","7","",".283",".330",".402",".732",".312","","92","0.3","-4.5","","-5.9","1.6","1.4","","189.1","17696"
"Elvis Andrus","Rangers","149","672","616","165","34","4","14","82","72","43","103","5","23","9","",".268",".319",".405",".724",".308","","82","2.0","-3.7","","-13.8","3.8","1.3","","140.2","8709"
"Nicky Lopez","Royals","126","483","438","119","22","3","6","52","46","34","52","3","9","4","",".272",".327",".378",".705",".304","","86","0.3","1.7","","-8.4","4.2","1.3","","578.2","19339"
"Johan Camargo","Braves","93","366","332","89","20","1","11","40","46","26","71","3","1","1","",".269",".326",".440",".766",".322","","96","-0.2","1.8","","-2.1","2.6","1.2","","563.7","14950"
"Nico Hoerner","Cubs","75","300","276","75","14","3","7","31","34","17","38","3","4","2","",".272",".319",".416",".734",".311","","90","0.3","2.3","","-3.7","3.7","0.9","","559.5","21479"
"Mauricio Dubon","Giants","120","478","445","119","23","1","12","44","54","23","75","3","11","5","",".266",".305",".404",".709",".300","","87","0.2","-0.4","","-8.2","2.2","0.9","","336.3","16530"
"Scott Kingery","Phillies","136","549","502","120","27","3","17","56","64","34","146","5","14","5","",".240",".294",".403",".697",".295","","79","2.1","2.1","","-13.4","4.5","0.9","","149.6","17975"
"Jose Peraza","Red Sox","63","263","244","69","12","1","5","31","29","12","34","4","7","3","",".283",".324",".404",".728",".310","","87","0.6","0.0","","-3.7","0.8","0.6","","320.1","13593"
"Asdrubal Cabrera","Nationals","64","269","240","64","14","1","9","32","34","23","54","2","1","1","",".265",".334",".439",".773",".327","","98","-1.2","-0.4","","-1.9","-0.9","0.6","","518.6","4962"
"Chris Taylor","Dodgers","70","296","262","64","16","2","8","34","32","26","82","3","4","2","",".244",".318",".406",".725",".309","","92","1.0","-0.9","","-2.0","-1.9","0.6","","538.6","13757"
"Ryan Mountcastle","","81","335","313","85","17","1","14","39","45","14","78","3","2","1","",".272",".307",".468",".775",".323","","98","0.3","0.0","","-0.4","-6.0","0.5","","999.0","sa874734"
"Aledmys Diaz","Astros","40","162","147","38","8","0","6","20","21","12","25","2","1","1","",".261",".319",".442",".762",".320","","102","-0.3","-0.4","","0.1","-0.5","0.5","","592.1","15937"
"Addison Russell","","29","116","103","26","5","0","4","13","14","10","26","1","1","0","",".249",".320",".417",".737",".312","","92","0.2","1.1","","-1.0","2.0","0.5","","600.7","14106"
"Zack Cozart","","34","142","127","31","7","1","4","16","16","12","24","2","1","0","",".244",".314",".408",".722",".308","","89","-0.1","0.4","","-2.2","1.2","0.4","","999.0","2616"
"Myles Straw","Astros","34","137","121","32","5","1","1","16","12","13","26","1","7","2","",".261",".335",".340",".675",".297","","86","0.5","0.1","","-1.8","0.5","0.3","","571.2","17620"
"Willi Castro","","37","154","142","36","7","2","3","16","16","8","34","2","3","1","",".256",".303",".389",".692",".295","","81","0.0","-0.1","","-3.8","1.8","0.3","","600.4","17338"
"Brendan Rodgers","Rockies","46","184","169","47","9","1","6","21","24","10","38","2","2","1","",".280",".328",".453",".781",".329","","87","0.2","-0.2","","-3.0","0.4","0.3","","569.7","17907"
"Daniel Robertson","Rays","32","134","115","27","5","0","3","14","13","14","32","3","1","1","",".237",".330",".359",".689",".302","","90","-0.1","-0.3","","-1.8","0.2","0.3","","999.0","14145"
"Donovan Solano","Giants","49","204","189","52","11","1","3","20","19","9","37","2","1","0","",".276",".315",".382",".697",".299","","86","-0.2","0.4","","-4.1","0.5","0.3","","999.0","8623"
"Jordy Mercer","","44","181","164","41","9","1","4","19","19","13","35","2","1","0","",".252",".311",".395",".706",".299","","83","0.1","0.0","","-3.9","0.3","0.3","","999.0","6547"
"Isaac Paredes","","19","80","72","19","4","0","2","9","9","6","10","1","1","0","",".264",".328",".401",".730",".313","","93","0.0","0.0","","-0.7","0.4","0.2","","999.0","sa920275"
"Freddy Galvis","Reds","136","551","508","122","24","2","16","53","62","33","127","3","5","2","",".241",".289",".388",".676",".287","","71","0.4","-1.7","","-20.5","5.1","0.2","","476.7","6609"
"Jon Berti","Marlins","51","221","197","48","9","1","4","24","18","18","50","3","9","3","",".243",".314",".363",".676",".294","","83","1.0","-0.1","","-4.1","-0.8","0.2","","252.2","12037"
"Brad Miller","Cardinals","41","167","146","35","7","1","7","19","21","17","45","1","2","1","",".238",".319",".436",".755",".319","","98","0.0","-1.4","","-0.4","-3.0","0.2","","600.9","12775"
"Ehire Adrianza","Twins","24","97","88","22","5","1","2","11","11","7","19","1","1","0","",".256",".317",".390",".707",".302","","85","0.1","-0.5","","-1.7","0.2","0.2","","598.7","8418"
"Danny Mendick","White Sox","19","80","72","17","3","0","2","9","8","7","16","1","2","1","",".243",".311",".376",".687",".296","","84","0.0","-0.1","","-1.6","0.4","0.2","","600.6","18889"
"Orlando Arcia","Brewers","41","158","143","36","7","0","4","15","17","11","31","1","3","1","",".250",".307",".392",".699",".295","","78","0.2","0.2","","-4.3","0.7","0.1","","579.8","13185"
"Tim Beckham","","37","156","142","34","7","0","5","17","19","10","44","1","1","1","",".241",".297",".416",".714",".302","","85","-0.1","-1.0","","-3.2","-0.6","0.1","","600.6","7949"
"Cole Tucker","","15","60","54","14","3","1","1","6","6","5","13","0","2","1","",".248",".309",".372",".681",".292","","79","0.1","0.1","","-1.6","0.8","0.1","","596.4","17326"
