"Name","Team","G","PA","AB","H","2B","3B","HR","R","RBI","BB","SO","HBP","SB","CS","-1","AVG","OBP","SLG","OPS","wOBA","-1","wRC+","BsR","Fld","-1","Off","Def","WAR","-1","ADP","playerid"
"Alex Bregman","Astros","150","654","546","157","38","2","32","103","107","93","84","8","6","3","",".287",".396",".542",".938",".391","","150","0.0","-1.8","","41.9","0.9","6.4","","16.1","17678"
"Anthony Rendon","Angels","149","659","568","162","37","2","28","93","100","76","97","9","4","2","",".284",".374",".507",".881",".367","","133","0.9","4.2","","28.6","6.7","5.7","","22.3","12861"
"Matt Chapman","Athletics","150","663","578","149","35","3","35","94","102","69","156","9","3","1","",".258",".343",".511",".854",".356","","126","1.5","7.5","","23.6","10.0","5.5","","92.9","16505"
"Jose Ramirez","Indians","150","648","565","157","39","3","31","95","105","72","84","5","23","8","",".278",".362",".524",".886",".366","","126","3.8","2.7","","25.1","5.2","5.2","","14.5","13510"
"Josh Donaldson","Twins","144","624","522","140","29","1","35","95","104","91","146","6","4","2","",".268",".379",".528",".907",".379","","137","-0.4","0.9","","29.2","1.6","5.1","","91.0","5038"
"Rafael Devers","Red Sox","150","668","604","181","44","3","33","105","104","51","118","4","10","5","",".300",".356",".547",".903",".371","","129","1.5","-1.0","","26.0","1.3","4.9","","22.2","17350"
"Kris Bryant","Cubs","149","684","576","158","36","2","31","107","84","82","151","16","5","2","",".274",".377",".505",".882",".370","","129","3.0","-2.4","","29.0","-0.9","4.9","","57.9","15429"
"Nolan Arenado","Rockies","150","651","574","170","35","3","39","97","116","66","105","5","3","2","",".296",".371",".572",".943",".385","","124","0.5","5.3","","21.1","7.8","4.9","","14.7","9777"
"Manny Machado","Padres","150","664","591","161","29","3","37","92","104","63","119","4","7","3","",".272",".344",".519",".863",".356","","122","-0.6","4.7","","18.6","7.2","4.6","","62.0","11493"
"Yoan Moncada","White Sox","150","675","596","159","32","4","28","96","87","65","185","5","12","5","",".267",".341",".476",".817",".343","","116","2.0","0.3","","15.7","2.8","4.1","","61.6","17232"
"Vladimir Guerrero Jr.","Blue Jays","138","596","531","157","32","2","25","80","89","55","94","5","3","1","",".296",".364",".502",".866",".363","","128","-1.6","-3.4","","19.7","-5.0","3.5","","62.5","19611"
"Justin Turner","Dodgers","126","554","483","135","29","1","23","76","80","53","88","13","2","1","",".281",".364",".488",".852",".359","","125","-0.7","-3.0","","17.8","-0.9","3.4","","155.4","5235"
"Eugenio Suarez","Reds","149","657","568","144","25","2","36","89","98","74","171","9","3","2","",".253",".345",".493",".839",".350","","113","-1.9","-2.3","","9.1","0.1","3.0","","76.9","12552"
"Brian Anderson","Marlins","150","673","591","153","34","2","21","84","72","61","142","13","5","2","",".260",".339",".433",".772",".329","","106","0.1","0.2","","5.3","2.7","2.9","","213.9","18289"
"Kyle Seager","Mariners","138","600","538","131","29","1","26","70","80","50","122","6","3","2","",".243",".312",".446",".758",".319","","101","-0.8","1.2","","0.4","3.5","2.4","","390.6","9785"
"Eduardo Escobar","Diamondbacks","147","649","589","152","32","7","25","80","87","49","129","5","4","2","",".257",".317",".463",".780",".325","","98","0.6","0.0","","-1.0","2.4","2.2","","117.1","6153"
"Mike Moustakas","Reds","144","622","560","144","28","1","36","82","101","51","110","6","2","1","",".257",".323",".504",".827",".341","","107","-2.2","-4.2","","3.5","-1.8","2.1","","94.3","4892"
"Matt Carpenter","Cardinals","125","562","469","111","27","2","22","77","61","79","140","7","4","2","",".237",".352",".443",".795",".338","","111","-0.3","-5.8","","7.6","-4.2","2.1","","480.7","8090"
"Miguel Sano","Twins","126","499","430","106","20","2","31","72","82","58","173","3","1","1","",".247",".338",".520",".858",".355","","122","-1.2","-0.2","","12.5","-10.4","1.9","","106.5","12164"
"Yandy Diaz","Rays","118","522","454","124","23","2","12","60","59","60","101","3","4","2","",".274",".360",".410",".771",".332","","110","-0.2","-0.8","","6.7","-5.4","1.9","","277.0","16578"
"David Fletcher","Angels","131","570","519","146","28","3","7","68","53","39","61","4","8","3","",".281",".334",".386",".720",".310","","94","0.5","1.8","","-4.0","2.3","1.8","","391.3","17992"
"Jeimer Candelario","Tigers","113","473","412","100","23","3","16","54","54","50","116","6","3","1","",".243",".331",".425",".756",".322","","99","0.5","0.2","","-0.1","0.2","1.6","","578.9","13621"
"Evan Longoria","Giants","125","547","497","126","26","3","20","63","68","37","115","6","3","1","",".253",".311",".439",".750",".315","","96","-0.4","-0.7","","-3.1","1.4","1.6","","532.2","9368"
"Todd Frazier","Rangers","125","522","453","110","21","2","24","66","71","53","114","10","4","2","",".242",".331",".452",".784",".331","","97","-0.8","0.2","","-2.8","-0.7","1.5","","540.2","785"
"Hanser Alberto","Orioles","134","578","545","157","26","2","12","62","59","20","57","5","6","3","",".288",".316",".412",".728",".308","","89","-0.3","0.4","","-8.6","2.8","1.4","","488.7","11902"
"Maikel Franco","Royals","120","468","419","112","24","1","20","58","64","39","65","2","1","0","",".268",".331",".474",".804",".328","","102","-1.2","-2.7","","-0.2","-2.0","1.4","","545.1","12179"
"J.D. Davis","Mets","117","484","435","115","22","1","21","58","66","40","112","4","3","1","",".264",".329",".462",".791",".332","","109","-0.7","-3.4","","5.1","-6.8","1.4","","169.5","16219"
"Travis Shaw","Blue Jays","107","448","386","90","19","1","20","56","60","54","112","4","3","1","",".232",".329",".442",".771",".325","","102","-0.4","3.6","","0.7","-2.9","1.3","","406.7","11982"
"Tommy La Stella","Angels","86","389","349","96","18","1","12","52","42","30","49","4","2","1","",".276",".338",".432",".770",".328","","106","0.1","-0.3","","3.2","-3.5","1.3","","321.2","12371"
"Nick Solak","Rangers","109","435","386","104","17","2","16","51","55","38","95","6","6","2","",".268",".339",".445",".784",".333","","98","0.1","-0.7","","-0.9","-1.2","1.3","","282.4","19294"
"Giovanny Urshela","Yankees","125","483","446","119","23","1","16","57","61","25","87","5","2","1","",".268",".311",".430",".741",".312","","94","-1.1","-1.0","","-5.1","1.0","1.3","","234.0","10681"
"Hunter Dozier","Royals","146","627","561","141","30","7","22","74","83","56","169","4","4","2","",".252",".322",".446",".768",".323","","99","-1.1","-1.9","","-2.0","-7.2","1.3","","181.9","15117"
"Johan Camargo","Braves","93","366","332","89","20","1","11","40","46","26","71","3","1","1","",".269",".326",".440",".766",".322","","96","-0.2","1.8","","-2.1","2.6","1.2","","563.7","14950"
"Tommy Edman","Cardinals","115","465","428","118","21","5","10","47","53","27","78","5","13","5","",".275",".322",".421",".743",".315","","96","1.8","0.7","","-0.9","-2.0","1.2","","131.3","19470"
"Rio Ruiz","Orioles","100","415","372","93","17","2","13","44","47","37","90","2","2","1","",".249",".317",".407",".724",".309","","89","-0.3","0.5","","-6.0","2.1","1.0","","599.2","14103"
"Nicholas Castellanos","Reds","139","598","543","148","40","2","25","77","86","43","139","5","3","1","",".273",".329",".492",".821",".342","","108","-0.3","-8.4","","5.7","-15.4","0.9","","86.6","11737"
"Wilmer Flores","Giants","79","328","300","84","18","1","12","38","43","20","39","4","1","0","",".281",".332",".463",".795",".334","","109","-1.1","-2.0","","2.8","-4.5","0.9","","584.6","5827"
"Miguel Andujar","Yankees","122","498","462","125","27","1","22","62","72","26","83","4","3","1","",".270",".312",".475",".787",".328","","104","0.3","-4.7","","2.8","-12.6","0.8","","254.2","15878"
"Asdrubal Cabrera","Nationals","64","269","240","64","14","1","9","32","34","23","54","2","1","1","",".265",".334",".439",".773",".327","","98","-1.2","-0.4","","-1.9","-0.9","0.6","","518.6","4962"
"Colin Moran","Pirates","104","429","388","104","20","1","13","45","52","32","91","3","1","1","",".268",".327",".424",".751",".317","","95","-1.1","-5.5","","-3.8","-4.4","0.6","","573.7","16909"
"Jedd Gyorko","Brewers","60","245","216","53","9","1","11","30","33","25","56","2","2","1","",".246",".325",".449",".774",".327","","99","-0.6","-0.7","","-0.9","-1.4","0.5","","598.3","10816"
"Jake Lamb","Diamondbacks","70","292","249","58","13","2","11","34","36","36","76","3","2","1","",".234",".336",".432",".768",".326","","99","0.6","-0.5","","0.2","-4.7","0.5","","558.6","13329"
"Renato Nunez","Orioles","139","597","539","133","25","1","28","71","83","45","147","7","2","1","",".247",".311",".454",".765",".321","","97","-0.3","0.1","","-2.2","-14.5","0.4","","288.9","14503"
"Brandon Drury","Blue Jays","83","334","303","73","18","1","10","37","38","24","81","3","2","1","",".241",".300",".407",".707",".300","","85","-0.2","-0.1","","-6.6","-1.1","0.4","","597.8","11615"
"Daniel Robertson","Rays","32","134","115","27","5","0","3","14","13","14","32","3","1","1","",".237",".330",".359",".689",".302","","90","-0.1","-0.3","","-1.8","0.2","0.3","","999.0","14145"
"David Bote","Cubs","66","263","230","56","11","1","8","29","30","25","68","4","3","1","",".241",".323",".403",".726",".309","","89","0.4","-0.9","","-3.6","-2.1","0.3","","577.3","14593"
"Abraham Toro","Astros","16","65","58","15","3","0","2","8","8","5","13","1","1","0","",".253",".324",".423",".747",".317","","100","0.1","0.3","","0.0","-0.1","0.2","","598.7","19844"
"Yolmer Sanchez","","37","154","139","35","7","2","2","14","14","11","32","2","2","1","",".248",".310",".365",".675",".291","","81","0.1","-0.1","","-3.9","0.7","0.2","","999.0","11602"
"Dawel Lugo","Tigers","34","140","131","35","6","1","3","14","15","5","24","1","1","1","",".268",".299",".403",".703",".296","","81","-0.1","-0.3","","-3.4","0.2","0.2","","599.2","14713"
"Michael Brosseau","","15","60","55","14","3","0","2","7","7","4","13","1","1","0","",".251",".307",".412",".719",".305","","92","0.1","-0.2","","-0.6","0.1","0.2","","999.0","19683"
"Matt Duffy","","16","67","59","17","3","0","1","7","7","6","11","1","1","0","",".281",".351",".397",".748",".323","","92","-0.1","-0.5","","-0.8","-0.1","0.1","","601.0","13836"
"Greg Garcia","Padres","36","149","127","31","6","1","2","16","12","18","33","2","1","0","",".242",".345",".346",".691",".306","","89","0.3","-0.1","","-1.9","-1.7","0.1","","999.0","10951"
"Jung Ho Kang","","11","46","41","10","2","0","2","5","6","4","13","0","0","0","",".238",".303",".457",".760",".318","","96","0.0","-0.4","","-0.3","-0.2","0.1","","999.0","17182"
